Title,Link
행안부, ‘국가공유데이터 플랫폼’ 만든다,https://www.boannews.com/media/view.asp?idx=133862&page=3&kind=2
과기정통부, 대한민국 대표 ‘국가 인공지능 연구거점’ 개소식 개최,https://www.boannews.com/media/view.asp?idx=133861&page=3&kind=2
대한민국 제조업에 인공지능을 입힌다,https://www.boannews.com/media/view.asp?idx=133860&page=3&kind=2
ADT캡스, 유튜버 숏박스와 매장 보안 서비스 소개한 협업 콘텐츠 선봬,https://www.boannews.com/media/view.asp?idx=133886&page=3&kind=3
경북도청, 11개 산하기관과 ‘개인정보보호 실무 협의회’ 개최,https://www.boannews.com/media/view.asp?idx=133884&page=4&kind=2
[bnTV] 주요 보안 상장기업에 기관 매수세↑ 에스원·안랩·드림시큐리티,https://www.boannews.com/media/view.asp?idx=133876&page=4&kind=3
티피링크 Omada, 최대 PoE 500W 공급 L2 스위치허브 출시,https://www.boannews.com/media/view.asp?idx=133883&page=4&kind=3
[인터뷰] 초소형 나노데이터센터(NANODC) 구축 기업, 제타큐브 조정현 대표,https://www.boannews.com/media/view.asp?idx=133790&page=4&kind=3
이글루코퍼레이션, 사이버 훈련 솔루션 ‘플롯 시디엑스’ 출시,https://www.boannews.com/media/view.asp?idx=133878&page=4&kind=3
S2W, 3차 금융보안 보고서 발간... 금융권 타깃 한 사이버 위협 현황 분석,https://www.boannews.com/media/view.asp?idx=133882&page=4&kind=3
샌즈랩, 싱가포르 국방과학기구 국립연구소와 사이버 보안 첨단 기술 개발,https://www.boannews.com/media/view.asp?idx=133881&page=4&kind=3
핀텔, 수원시 지능형교통체계 구축사업 선정,https://www.boannews.com/media/view.asp?idx=133880&page=4&kind=3
특허청, IP 서비스 개발 지원 위해 민간과 소통한다,https://www.boannews.com/media/view.asp?idx=133859&page=4&kind=2
2024학년도 중앙대학교 보안대학원 융·복합세미나 개최,https://www.boannews.com/media/view.asp?idx=133879&page=4&kind=3
넷앤드, 소외 이웃 돕기 위한 ‘2024 파트너 초청 자선골프행사’ 성료,https://www.boannews.com/media/view.asp?idx=133877&page=4&kind=3
윈도 최신 보안 패치도 소용없다? 새롭게 연구된 다운데이트 공격,https://www.boannews.com/media/view.asp?idx=133857&page=4&kind=1
사행성 게임 하다 악성코드 WrnRAT 감염된다고? 재산과 개인정보 싹 털린다,https://www.boannews.com/media/view.asp?idx=133855&page=4&kind=1
