Title,Link
소프트캠프-앤앤에스피, N²SF 전환 및 OT 보안 시장 대응 ‘협력’,https://www.boannews.com/media/view.asp?idx=138445&page=4&kind=3
[ISEC 2025 미리보기] 투씨에스지, IT·OT 보안 필수 솔루션을 한눈에,https://www.boannews.com/media/view.asp?idx=138379&page=4&kind=3
[ISEC 2025 미리보기] 윈스테크넷, AI 무인보안 관제 서비스 선보여 ‘AI 보안 서비스’ 본격화,https://www.boannews.com/media/view.asp?idx=138377&page=4&kind=3
[ISEC 2025 미리보기] 벨로크, 차세대 보안 솔루션 4종으로 국내 보안 시장 본격 공략,https://www.boannews.com/media/view.asp?idx=138378&page=4&kind=3
[2025 정보보호공시] 게임산업 보안 투자는? ‘3N+K’ 정보통신업 평균 넘어서,https://www.boannews.com/media/view.asp?idx=138444&page=4&kind=2
한국인 겨냥 ‘사랑트랩’ 악성코드 캠페인 포착…업계 주의 당부,https://www.boannews.com/media/view.asp?idx=138442&page=4&kind=1
조달청, AI 기술 유망기업 제품발굴을 위한 공모전 개최,https://www.boannews.com/media/view.asp?idx=138443&page=4&kind=2
위성, 드론에서도 안정적 양자 통신 가능해진다...ETRI-KAIST 공동연구 성과,https://www.boannews.com/media/view.asp?idx=138441&page=4&kind=5
[카드뉴스] 41개국 4000명 참여한 세계 최대 라이브 파이어 사이버 전쟁 훈련!,https://www.boannews.com/media/view.asp?idx=138440&page=4&kind=1
[IP쇼츠] 휴가철 車안전 위협 ‘짝퉁부품’, 철퇴...상표경찰, 적발현장 영상 공개,https://www.boannews.com/media/view.asp?idx=138439&page=4&kind=1
예산 확보 어려운 CISO들…“보안 투자 비율 의무화 원해”,https://www.boannews.com/media/view.asp?idx=138438&page=4&kind=2
[구축사례] 전북 최초로 통합관제센터 구축·운영 ‘완주군 CCTV 통합관제센터’ 탐방記,https://www.boannews.com/media/view.asp?idx=138409&page=4&kind=2
KISIA 자율보안협의체, 정보보호 R&D 수요 간담회 개최...IITP에 현장 목소리 전달,https://www.boannews.com/media/view.asp?idx=138437&page=4&kind=2
[테크칼럼] 데이터센터 보안의 완성: AI와 생체인증 기반 6단계 통합 방어 전략,https://www.boannews.com/media/view.asp?idx=138415&page=4&kind=6
조달청, 평가위원 3중 관리로 공정·투명성 향상,https://www.boannews.com/media/view.asp?idx=138436&page=4&kind=2
최은수 인텔리빅스 대표 저서 ‘넥스트 AI 비즈니스’, 군장병 AI 필독서로 선정,https://www.boannews.com/media/view.asp?idx=138435&page=4&kind=3
VIGI, AI 기반 ‘피플 카운팅’ 솔루션으로 스마트 매장 운영 지원,https://www.boannews.com/media/view.asp?idx=138434&page=4&kind=3
조달청, 내자구매업무 처리 규정 개정으로 묻지마식 입찰참여 방지,https://www.boannews.com/media/view.asp?idx=138433&page=4&kind=2
[인사] 한국인터넷신문협회,https://www.boannews.com/media/view.asp?idx=138432&page=5&kind=3
체크포인트, 3분기 제로트러스트 플랫폼 리더 선정,https://www.boannews.com/media/view.asp?idx=138431&page=5&kind=3
나스카, 메두사 랜섬웨어 공격으로 400만달러 몸값 요구받아,https://www.boannews.com/media/view.asp?idx=138430&page=5&kind=1
KISA, 아태 20개국 생성형 AI 악용 랜섬웨어 모의훈련 주관,https://www.boannews.com/media/view.asp?idx=138428&page=5&kind=2
F5, AI 워크로드 보안 강화...ADSP에 신규 기능 도입,https://www.boannews.com/media/view.asp?idx=138426&page=5&kind=3
개인정보위, 아태 정책당국들과 아동·청소년 개인정보 보호 정책 마련 나서,https://www.boannews.com/media/view.asp?idx=138427&page=5&kind=2
[ISEC 2025 미리보기] 모니터랩, SSE 기반 AIONCLOUD로 제로 트러스트 보안 시장 공략,https://www.boannews.com/media/view.asp?idx=138375&page=5&kind=3
[ISEC 2025 미리보기] 사이버아크, Venafi 인수로 아이덴티티 보안 전략 강화,https://www.boannews.com/media/view.asp?idx=138369&page=5&kind=3
[ISEC 2025 미리보기] 소만사, 엔드포인트와 네트워크 아우른 3대 핵심 솔루션 소개,https://www.boannews.com/media/view.asp?idx=138368&page=5&kind=3
KT, 딥페이크 음성 보이스피싱 실시간 걸러낸다...AI 기반 보이스피싱 탐지 고도화,https://www.boannews.com/media/view.asp?idx=138422&page=5&kind=3
이해민 의원, 망 이용계약 공정화...핵심은 ‘사용자 편익’,https://www.boannews.com/media/view.asp?idx=138423&page=5&kind=2
금융보안원, SW 공급망 보안 플랫폼 구축...취약점 금융권 공유,https://www.boannews.com/media/view.asp?idx=138417&page=5&kind=2
[IP포토] 배테랑 특허심사관, 감사패 받아,https://www.boannews.com/media/view.asp?idx=138420&page=5&kind=1
하이퍼노트, 온디바이스 AI 미팅노트로 글로벌 투자 유치,https://www.boannews.com/media/view.asp?idx=138421&page=5&kind=3
특허청, 이차전지기술 해외유출 시도 대기업 팀장 구속 기소,https://www.boannews.com/media/view.asp?idx=138418&page=5&kind=1
[IP人] 백승한 클래시스 대표, “특허청 지원받아, K-뷰티 수출 선도“,https://www.boannews.com/media/view.asp?idx=138416&page=5&kind=1
안랩, 상반기 영업이익 25% 상승…“클라우드 사업 성장”,https://www.boannews.com/media/view.asp?idx=138414&page=5&kind=3
美 특허 가치의 1~5% 수수료, 보유자에 중과 검토...삼성·LG 등 US특허권자 초비상,https://www.boannews.com/media/view.asp?idx=138413&page=5&kind=1
LG유플러스, 5년간 보안 7000억 투자…“고객 디지털 안전 보장할 것”,https://www.boannews.com/media/view.asp?idx=138411&page=5&kind=2
한화 ‘육아동행지원금’ 수혜 가정 ‘100가구’ 돌파,https://www.boannews.com/media/view.asp?idx=138412&page=5&kind=3
