Title,Link
[ISEC 2025 미리보기] 시만텍, SES Complete의 AI 기반 Incident Prediction 기능 공개,https://www.boannews.com/media/view.asp?idx=138621&page=3&kind=3
[ISEC 2025 미리보기] 파수, Hyper DRM으로 데이터 보안의 클라우드와 로컬 경계 허문다,https://www.boannews.com/media/view.asp?idx=138620&page=3&kind=3
예스24, 두달 만에 또 랜섬웨어 공격...“시스템 긴급 차단 후 복구 중”,https://www.boannews.com/media/view.asp?idx=138650&page=3&kind=1
티오리한국, 또 우승...세계 최고 권위 해킹대회 ‘데프콘 CTF 33’ 4년 연속 1위·통산 9회,https://www.boannews.com/media/view.asp?idx=138651&page=3&kind=3
“IT 지원팀입니다” 보이스피싱에 구글·샤넬 등 20개 기업 뚫렸다,https://www.boannews.com/media/view.asp?idx=138648&page=3&kind=1
[제품리뷰] 실시간 통합의 핵심, 제네텍 ‘Operation Center’,https://www.boannews.com/media/view.asp?idx=138488&page=3&kind=3
[인터뷰] 유니파이드 솔루션 선도기업, 에프에스티코리아,https://www.boannews.com/media/view.asp?idx=138485&page=3&kind=3
인텔리빅스, 유니코어로보틱스와 MOU 체결,https://www.boannews.com/media/view.asp?idx=138646&page=3&kind=3
예스24, 랜섬웨어 악몽 또다시? 회사측 “원인 파악 중”,https://www.boannews.com/media/view.asp?idx=138645&page=4&kind=1
[2025 SOAR 솔루션 리포트] 보안전문가들이 바라마지 않는 ‘자동화’의 길, SOAR가 걷다,https://www.boannews.com/media/view.asp?idx=138647&page=4&kind=3
한국의 힘, 해커 올림픽 휩쓸었다...DEFCON CTF 33, 한·미·캐 연합팀 MMM 4년 연속 우승,https://www.boannews.com/media/view.asp?idx=138644&page=4&kind=4
폭염엔 역시 ‘AI’ 에어컨...全 특허의 25% 차지,https://www.boannews.com/media/view.asp?idx=138643&page=4&kind=1
핀텔, 한-헝가리 EIPP 통해 유럽 스마트 모빌리티 시장 공략 박차,https://www.boannews.com/media/view.asp?idx=138590&page=4&kind=3
[데프콘 33] 세계 해커들의 축제 개막… 한국 3팀 본선 진출한 CTF 기대감 커져,https://www.boannews.com/media/view.asp?idx=138642&page=4&kind=4
과기정통부-KISA, 정보보호 공시 사후검증 나서,https://www.boannews.com/media/view.asp?idx=138639&page=4&kind=2
과기정통부, ‘2025 자율주행 AI 챌린지’ 모집,https://www.boannews.com/media/view.asp?idx=138638&page=4&kind=2
BoB 12기, 데프콘 33서 선박 사이버보안 연구 성과 발표,https://www.boannews.com/media/view.asp?idx=138641&page=4&kind=5
KT, 한국수자원공사 ‘5G 스마트 오피스망’ 구축...“외근·출장에도 안전한 업무 접속”,https://www.boannews.com/media/view.asp?idx=138637&page=4&kind=3
[단독] 대한민국 정부가 털렸다... 행안부·외교부·방첩사, 북한 추정 해킹에 국가안보 ‘비상’,https://www.boannews.com/media/view.asp?idx=138636&page=4&kind=1
AI 해킹도 세계 최정상 한국, ‘팀 애틀랜타’ AIxCC 최종 우승,https://www.boannews.com/media/view.asp?idx=138633&page=4&kind=4
