Title,Link
“안전한 AI로 고객 경험 혁신” LG유플러스, ‘AI 경영시스템 인증’ 획득,https://www.boannews.com/media/view.asp?idx=137593&page=3&kind=3
F1Security, 글로벌 확장 본격화... 싱가포르·베트남 시장 선점,https://www.boannews.com/media/view.asp?idx=137595&page=3&kind=3
스노우플레이크, 크런치데이터 인수,https://www.boannews.com/media/view.asp?idx=137591&page=3&kind=3
[제2의 SKT 해킹사태 대응 솔루션 리포트] ‘보안’ 잃기 전 ‘보안 솔루션’ 도입하기,https://www.boannews.com/media/view.asp?idx=137589&page=3&kind=5
[유경동의 IP전략] 운동화에 특허스위치, ON!,https://www.boannews.com/media/view.asp?idx=137590&page=3&kind=3
SK쉴더스, 민기식 신임 대표 내정,https://www.boannews.com/media/view.asp?idx=137588&page=3&kind=3
[정책제언] 한국인공지능협회, 民주도·官조력 ‘보안’ 전환 기대,https://www.boannews.com/media/view.asp?idx=137586&page=4&kind=2
티피링크 VIGI, 중소기업용 스마트 보안 강화 위한 ‘VIGI 5MP 풀컬러 카메라’ 2종 출시,https://www.boannews.com/media/view.asp?idx=137583&page=4&kind=3
[정책제언] “국방·금융·정보통신 등 민간과 공공 아우르는 거버넌스 절실”,https://www.boannews.com/media/view.asp?idx=137584&page=4&kind=2
中 역대 최대 40억건 개인정보 유출...알리페이·위챗 정보  고스란히,https://www.boannews.com/media/view.asp?idx=137581&page=4&kind=1
명지대-국방전산정보원, 국방·안보 분야 기술 협력 및 인력 양성 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137582&page=4&kind=1
[정책제언] 한국정보공학기술사회, 국가 경쟁력의 열쇠 ‘AI·보안·양자’,https://www.boannews.com/media/view.asp?idx=137580&page=4&kind=1
SKT 사고로 주목받는 ‘사이버보험’... 중소기업 시장 확대 기대감↑,https://www.boannews.com/media/view.asp?idx=137535&page=4&kind=3
[카드뉴스] 우리 전자기기 위협하는 ‘멀웨어’,https://www.boannews.com/media/view.asp?idx=137578&page=4&kind=1
[2024 개인정보보호 우수사례-4] 한국마사회, 온라인 마권발매 환경에 발맞춰 역량 대폭 강화,https://www.boannews.com/media/view.asp?idx=137573&page=4&kind=2
위덱스정보기술, 멘로시큐리티와 총판 파트너십 체결,https://www.boannews.com/media/view.asp?idx=137579&page=4&kind=3
이스트시큐리티, ‘AI 기반 보안 전문가’ 자격증 교육 과정 출시,https://www.boannews.com/media/view.asp?idx=137577&page=4&kind=3
조달청, 다수공급자계약제도 규제혁신으로 기업 부담 경감,https://www.boannews.com/media/view.asp?idx=137576&page=4&kind=2
[2025 개인정보보호 우수사례-3] 에스알, 무사고 운행 8년... 개인정보보호도 무사고 목표,https://www.boannews.com/media/view.asp?idx=137554&page=4&kind=2
[이슈칼럼] 기업 보안 재검토, 사이버 복원력을 위한 ‘액션플랜’-2편,https://www.boannews.com/media/view.asp?idx=137571&page=4&kind=6
SKT 등 韓 이통사, 보안기술력 허약...中 대비 특허 18배↓,https://www.boannews.com/media/view.asp?idx=137572&page=4&kind=1
공정위, 기술자료 유용한 두원공조에 과징금 3.9억,https://www.boannews.com/media/view.asp?idx=137570&page=4&kind=2
은행·포털서도 모바일 신분증 발급...행안부, 참여기업 공모,https://www.boannews.com/media/view.asp?idx=137569&page=4&kind=2
