Title,Link
최근 발견된 삼성전자 ‘채용 피싱 사이트 vs. 실제 채용 사이트’ 구별법,https://www.boannews.com/media/view.asp?idx=135552&page=1&kind=1
CES, AI 몰입엔 ‘보안’이 최고,https://www.boannews.com/media/view.asp?idx=135522&page=2&kind=5
과기정통부, CES 2025서 기술사업화 등 현장 목소리 청취,https://www.boannews.com/media/view.asp?idx=135519&page=2&kind=2
[2025년 보안 핫 키워드-6] 엣지 디바이스 확산,https://www.boannews.com/media/view.asp?idx=135403&page=2&kind=5
[오늘의 보안 영어] on his mind,https://www.boannews.com/media/view.asp?idx=135523&page=2&kind=1
[보안 협·단체장 신년 인터뷰-4]  한국첨단안전산업협회 이성진 회장,https://www.boannews.com/media/view.asp?idx=135458&page=2&kind=3
과기정통부, CES 2025에서 디지털 청년 인재의 글로벌 도전과 성장 격려,https://www.boannews.com/media/view.asp?idx=135518&page=2&kind=2
KAIST 스타트업 플루이즈, ‘앱 자율실행’ AI 에이전트 기술 개발,https://www.boannews.com/media/view.asp?idx=135517&page=2&kind=5
합성데이터, 개인정보 보호와 데이터 부족 문제 해결의 열쇠,https://www.boannews.com/media/view.asp?idx=135513&page=2&kind=1
[bnTV] 가장 많이 위반하는 개인정보보호법은? ‘파기 단계’ 제대로 알아야,https://www.boannews.com/media/view.asp?idx=135515&page=2&kind=2
티피링크, CES 2025에서 차세대 스마트홈 및 Wi-Fi 7 기술 선보여,https://www.boannews.com/media/view.asp?idx=135514&page=2&kind=3
샤오미, ‘샤오미코리아’ 설립... 신제품 공개하며 본격 현지화,https://www.boannews.com/media/view.asp?idx=135512&page=2&kind=3
SGA솔루션즈 최영철 대표, “제로트러스트, 민간에서 실제 사업화가 돼야”,https://www.boannews.com/media/view.asp?idx=135516&page=2&kind=6
고용노동부, 2024년 올해의 산업안전감독관 6인 선정,https://www.boannews.com/media/view.asp?idx=135511&page=2&kind=2
과기정통부 유상임 장관, SK C&C 판교 데이터센터에서 안전관리 현황 점검,https://www.boannews.com/media/view.asp?idx=135510&page=2&kind=2
[2025년 보안 핫 키워드-5] 융합보안 시장 본격화,https://www.boannews.com/media/view.asp?idx=135402&page=2&kind=5
[보안 협·단체장 신년 인터뷰-3] 한국재난안전산업협회 서병일 회장,https://www.boannews.com/media/view.asp?idx=135457&page=2&kind=3
이테크시스템, “보안 사업 강화로 2025년 한 단계 더 도약할 것”,https://www.boannews.com/media/view.asp?idx=135456&page=2&kind=3
조달청, 불공정 조달행위 신고 건수 역대 최고 기록,https://www.boannews.com/media/view.asp?idx=135509&page=3&kind=2
파블로항공, CES 2025서 미래형 드론 기술 및 글로벌 비전 제시,https://www.boannews.com/media/view.asp?idx=135507&page=3&kind=3
공격자들이 직접 만든 피싱 공격용 플러그인, 피시WP,https://www.boannews.com/media/view.asp?idx=135508&page=3&kind=1
SK쉴더스, LLM 애플리케이션 취약점 진단 가이드 발간,https://www.boannews.com/media/view.asp?idx=135505&page=3&kind=3
하이크비전, AI 영상 분석 기술 활용해 리테일 산업의 디지털 전환 지원,https://www.boannews.com/media/view.asp?idx=135504&page=3&kind=3
[오늘의 보안 영어] heavy-handed,https://www.boannews.com/media/view.asp?idx=135506&page=3&kind=1
[배종찬의 보안 빅데이터] 트럼프·시진핑간 ‘美·中 충돌’은 무역 아닌 ‘해킹’,https://www.boannews.com/media/view.asp?idx=135503&page=3&kind=1
세계 최대 시장 인도, 새로운 개인정보 보호 규정 초안 발표! 어떤 내용일까?,https://www.boannews.com/media/view.asp?idx=135502&page=3&kind=1
이노티움, 랜섬웨어 대응제품 ‘보안기능확인서’ 인증 획득,https://www.boannews.com/media/view.asp?idx=135501&page=3&kind=3
스텔스, 자동화, 다양한 정보 탈취 전략 등 다재다능한 새 멀웨어 등장,https://www.boannews.com/media/view.asp?idx=135500&page=3&kind=1
윈도 LDAP에서 발견된 취약점, 끈질기게 파봤더니 모든 윈도 서버가 위험,https://www.boannews.com/media/view.asp?idx=135499&page=3&kind=1
[2025년 보안 핫 키워드-4] 보안 제품의 국산화,https://www.boannews.com/media/view.asp?idx=135401&page=3&kind=5
[보안 협·단체장 신년 인터뷰-2]  한국정보보호산업협회 조영철 회장,https://www.boannews.com/media/view.asp?idx=135437&page=3&kind=3
[bnTV] 식을 줄 모르는 ‘양자 테마’ 상한가 랠리... 주목받은 보안 상장기업은?,https://www.boannews.com/media/view.asp?idx=135494&page=3&kind=3
인기 오픈소스 스캐너 ‘누클리’에서 취약점 발견... 업데이트 필수,https://www.boannews.com/media/view.asp?idx=135498&page=3&kind=1
이테크시스템, 시만텍 프로모션 백신 WINBACK 프로모션 실시,https://www.boannews.com/media/view.asp?idx=135497&page=3&kind=3
[인사] 프레시안,https://www.boannews.com/media/view.asp?idx=135496&page=3&kind=3
[인사] 비즈워치,https://www.boannews.com/media/view.asp?idx=135495&page=3&kind=3
[인사] 보안뉴스,https://www.boannews.com/media/view.asp?idx=135492&page=3&kind=3
도구공간, 두바이 Smart Citizens와 손잡고 중동 진출 본격화,https://www.boannews.com/media/view.asp?idx=135491&page=3&kind=3
델 테크놀로지스, CES 2025 앞서 AI PC 신제품 공개,https://www.boannews.com/media/view.asp?idx=135489&page=4&kind=3
K-조달 18개사 ‘CES 2025’에서 혁신상 수상 쾌거,https://www.boannews.com/media/view.asp?idx=135488&page=4&kind=2
한국산업안전보건공단, 업종별 협·단체 네트워크 지원으로 사업장 안전 확보,https://www.boannews.com/media/view.asp?idx=135487&page=4&kind=2
타포(Tapo), 3K 초고화질 홈 보안 카메라 Tapo C230 출시,https://www.boannews.com/media/view.asp?idx=135486&page=4&kind=3
엑시스, 2025년 6가지 보안 기술 트렌드 발표,https://www.boannews.com/media/view.asp?idx=135485&page=4&kind=3
지란지교에스앤씨, 성공적인 제로트러스트 시범사업으로 보안 혁신 선도,https://www.boannews.com/media/view.asp?idx=135484&page=4&kind=3
[오늘의 보안 영어] make ends meet,https://www.boannews.com/media/view.asp?idx=135490&page=4&kind=1
Omada & VIGI, 홈페이지 개편 및 새로운 로고 선보이며 B2B 시장 집중화 전략 공개,https://www.boannews.com/media/view.asp?idx=135480&page=4&kind=3
조달청, 용역 다수공급자계약 개선으로 기업 부담 줄이고 운영 효율성 높인다,https://www.boannews.com/media/view.asp?idx=135469&page=4&kind=2
암호화폐를 노리는 공격자들, 2024년에 4억 9400만 달러 가져가,https://www.boannews.com/media/view.asp?idx=135482&page=4&kind=1
이더리움 생태계의 개발자 노리는 악성 npm 패키지 배포 캠페인,https://www.boannews.com/media/view.asp?idx=135481&page=4&kind=1
GS리테일, 크리덴셜 스터핑 공격 받아 고객 9만명 개인정보 유출,https://www.boannews.com/media/view.asp?idx=135478&page=4&kind=1
아우토크립트, 글로벌 자동차 보안 규제의 답을 제시하다,https://www.boannews.com/media/view.asp?idx=135477&page=4&kind=3
하이트진로, 랜섬웨어 공격에 개인정보 유출까지?,https://www.boannews.com/media/view.asp?idx=135476&page=4&kind=1
2025년, AI 기반 사이버 위협과 보안 기술 모두 확대된다,https://www.boannews.com/media/view.asp?idx=135475&page=4&kind=3
[2025년 글로벌 이슈 전망] 2025년에 보안 업계에서는 어떤 일이 일어날까?,https://www.boannews.com/media/view.asp?idx=135200&page=4&kind=1
이스트소프트, 페르소닷에이아이로 CES 2025 참가,https://www.boannews.com/media/view.asp?idx=135474&page=4&kind=3
누리랩, “KISA 불법스팸대응센터 사칭 문자, ‘통신사 이용 정지’로 피싱 유도”,https://www.boannews.com/media/view.asp?idx=135473&page=4&kind=1
SGA솔루션즈, ‘제로 트러스트 전문가’ 김광훈 전무 영입,https://www.boannews.com/media/view.asp?idx=135472&page=4&kind=3
KISA 불법스팸대응센터, 수사기관 사칭 문자 주의 당부,https://www.boannews.com/media/view.asp?idx=135471&page=4&kind=1
과기정통부, CES 2025에서 국내 디지털 기술의 글로벌 사업화 방안 모색,https://www.boannews.com/media/view.asp?idx=135468&page=5&kind=2
[인사] 오픈베이스, 2025년 정기 임원 인사 단행,https://www.boannews.com/media/view.asp?idx=135467&page=5&kind=3
7일 개막 CES 2025, 최고혁신상 수상한 K-시큐리티 제품 톺아보기,https://www.boannews.com/media/view.asp?idx=135454&page=5&kind=3
스티비 뉴스레터 해킹 들여다보니... 개인정보 유출과 함께 보안 허점 드러나,https://www.boannews.com/media/view.asp?idx=135466&page=5&kind=1
[2024 Global Security Top 100] 글로벌 보안산업 100대 대표기업 선정,https://www.boannews.com/media/view.asp?idx=135463&page=5&kind=3
ZKTeco, Global Security TOP 100 선정,https://www.boannews.com/media/view.asp?idx=135465&page=5&kind=3
[한 주를 관통하는 보안 소식] 2025년 1월 1주차, “새해”,https://www.boannews.com/media/view.asp?idx=135436&page=5&kind=1
[영화&보안] <트랜스포머 1>과 요즘 스릴러물들이 간편함에 갇혀 잃어버린 재미들,https://www.boannews.com/media/view.asp?idx=135461&page=5&kind=1
[보안 역사, 그날] 1999년 1월 6일, 해커들이 뜯어 말린 전자전 선포,https://www.boannews.com/media/view.asp?idx=135379&page=5&kind=1
美 재무부, 해킹 혐의로 中 기업 ‘Integrity Technology’ 제재,https://www.boannews.com/media/view.asp?idx=135464&page=5&kind=4
“당신의 클릭을 훔치겠습니다”가 “당신의 더블클릭을 훔치겠습니다”로 변하다,https://www.boannews.com/media/view.asp?idx=135462&page=5&kind=1
클라우드 환경에서 반복적으로 나타나는 해킹 그룹 이씨투그루퍼,https://www.boannews.com/media/view.asp?idx=135460&page=5&kind=1
2025년 한국정보통신자격협회 자격 검정 일정 공고,https://www.boannews.com/media/view.asp?idx=135455&page=5&kind=3
글로벌 C레벨들의 개인정보 보호 인식은 ‘장밋빛’... 고객 데이터 보호 확신 86%,https://www.boannews.com/media/view.asp?idx=135452&page=5&kind=3
모니터랩-오픈베이스, ‘2024년 AI 바우처 지원사업’ 우수 등급 획득,https://www.boannews.com/media/view.asp?idx=135453&page=5&kind=3
[2025년 보안 핫 키워드-3] 사이버 사기의 서비스화와 큐싱 위협,https://www.boannews.com/media/view.asp?idx=135426&page=5&kind=1
[보안 협·단체장 신년 인터뷰-1]  한국감시기기공업협동조합 이상우 이사장,https://www.boannews.com/media/view.asp?idx=135407&page=5&kind=2
[한국정보보호학회 칼럼] 디지털 금융서비스 보안을 위한 융합적인 접근,https://www.boannews.com/media/view.asp?idx=135405&page=5&kind=3
방위사업청, 인공지능 영상분석 기능 도입으로 경계작전 효율성과 신뢰성 향상,https://www.boannews.com/media/view.asp?idx=135451&page=5&kind=2
한국정보보호산업협회, 뉴스레터 구독자 이메일 주소 유출,https://www.boannews.com/media/view.asp?idx=135448&page=5&kind=1
