Title,Link
[이슈칼럼] SKT 유심 해킹 사고, 예상 시나리오별 취약점 확인과 대응방법,https://www.boannews.com/media/view.asp?idx=137185&page=3&kind=1
[SKT 해킹 사태] 보안업계, ‘BPF도어’ 탐지 솔루션 잇단 출시,https://www.boannews.com/media/view.asp?idx=137180&page=3&kind=1
이터널, 지정맥 인증 기반 PC 로그온 솔루션 출시,https://www.boannews.com/media/view.asp?idx=137183&page=3&kind=3
산업보안연구학회-국정원, ‘2025 국제 산업보안 논문 경진대회’ 개최,https://www.boannews.com/media/view.asp?idx=137182&page=3&kind=3
지란지교데이터, ‘2025 글로벌 IP 스타기업’ 선정,https://www.boannews.com/media/view.asp?idx=137181&page=3&kind=3
이지서티, ‘IDENTITY SHIELD V3.0’ 조달청 디지털 서비스몰 등록,https://www.boannews.com/media/view.asp?idx=137179&page=3&kind=3
에브리존 ‘터보백신’ KT클라우드 마켓클라우드 입점,https://www.boannews.com/media/view.asp?idx=137178&page=4&kind=3
디지탈센스, ‘신분증 도용 방지 시스템’ 개발..출입통제 고도화,https://www.boannews.com/media/view.asp?idx=137176&page=4&kind=3
파수, 글로벌 인포섹 어워드 2개 부문 수상..데이터 보호·관리 역량 입증,https://www.boannews.com/media/view.asp?idx=137175&page=4&kind=3
KISIA, 2025 ‘시큐리티아카데미’ 6기 교육생 모집,https://www.boannews.com/media/view.asp?idx=137173&page=4&kind=2
[SKT 해킹 사태] SKT, 내일까지 개인정보 1차 유출통지,https://www.boannews.com/media/view.asp?idx=137172&page=4&kind=1
한국형 방어 시스템 구축 시급..씨큐비스타, 사이버戰 동향 발표,https://www.boannews.com/media/view.asp?idx=137171&page=4&kind=2
오마다(Omada), 10G 멀티기가비트 지원하는 액세스 맥스 시리즈 L2 스위치 신제품 출시,https://www.boannews.com/media/view.asp?idx=137170&page=4&kind=3
개인정보위, 보험대리점 개인정보 유출 사건 조사 착수,https://www.boannews.com/media/view.asp?idx=137169&page=4&kind=1
고용노동부, ‘2024 중대재해 사이렌’ 책자 발간,https://www.boannews.com/media/view.asp?idx=137168&page=4&kind=3
한국후지필름BI, ‘레보리아 프레스’ 신제품 2종 로드쇼 개최,https://www.boannews.com/media/view.asp?idx=137167&page=4&kind=3
[PIS FAIR 2025 미리보기] 센티널테크놀로지,https://www.boannews.com/media/view.asp?idx=137152&page=4&kind=3
[PIS FAIR 2025 미리보기] 엘세븐시큐리티,https://www.boannews.com/media/view.asp?idx=137154&page=4&kind=3
[이슈칼럼] SKT 유심 해킹 사건이 일깨운 AI 사이버보안의 시급성,https://www.boannews.com/media/view.asp?idx=137166&page=4&kind=1
[SKT 해킹 사태] 입법조사처 “해킹 경보 및 피해보상 법 개정 필요해”,https://www.boannews.com/media/view.asp?idx=137165&page=4&kind=1
[2025 스마트 보안등·안전표지판 리포트] 생활안전 높이는 친절하고 똑똑한 녀석들,https://www.boannews.com/media/view.asp?idx=137041&page=4&kind=3
[인터뷰] 김상인 인더스비젼 대표 “수중 환경의 안전도 인더스비젼이 책임질 것”,https://www.boannews.com/media/view.asp?idx=137031&page=4&kind=3
[카드뉴스] 가정의 달, 우리 아이의 디지털 세상도 함께 지켜볼까요?,https://www.boannews.com/media/view.asp?idx=137163&page=4&kind=1
라온시큐어, 5대 1 주식 액면병합..모바일 신분증-제로트러스트 기반 사업 고도화,https://www.boannews.com/media/view.asp?idx=137153&page=4&kind=3
CJ올리브네트웍스 디지털 인증서 北에 털렸다...국책 기계연 공격 시도,https://www.boannews.com/media/view.asp?idx=137157&page=4&kind=1
[PIS FAIR 2025 미리보기] 엔텀,https://www.boannews.com/media/view.asp?idx=137151&page=4&kind=3
[PIS FAIR 2025 미리보기] 에스에이티정보,https://www.boannews.com/media/view.asp?idx=137150&page=5&kind=3
아카마이, AI 전용 보안 솔루션 ‘AI 방화벽 출시’,https://www.boannews.com/media/view.asp?idx=137149&page=5&kind=3
항공보안학회, 제주국제大와 항공인재 양성 협력,https://www.boannews.com/media/view.asp?idx=137148&page=5&kind=3
사진 속 얼굴, ‘알씨’로 자동 모자이크,https://www.boannews.com/media/view.asp?idx=137147&page=5&kind=3
샌즈랩, AI 정보보호 국책사업 수주...70억 규모,https://www.boannews.com/media/view.asp?idx=137134&page=5&kind=1
[SKT 해킹 사태] SKT “유심보호서비스 100% 가입 완료..유심 교체는 107만건 진행”,https://www.boannews.com/media/view.asp?idx=137145&page=5&kind=1
안랩, 1분기 매출 572억원...전년 동기 대비 15.4% ↑,https://www.boannews.com/media/view.asp?idx=137144&page=5&kind=3
산업부, 국가핵심기술 신규지정·변경 추진,https://www.boannews.com/media/view.asp?idx=137142&page=5&kind=2
삼성도 당했다...‘디지털 사이니지’ 해커 공격 포착,https://www.boannews.com/media/view.asp?idx=137143&page=5&kind=1
[SKT 해킹 사태] 최태원 회장 “정보보호혁신위 구성..위약금은 이사회 논의 중”,https://www.boannews.com/media/view.asp?idx=137141&page=5&kind=1
국내 AI 산불감지시장 석권한 스피어AX의 ‘파이어워처’, 해외시장 점령 나선다,https://www.boannews.com/media/view.asp?idx=137140&page=5&kind=3
델 테크놀로지스, 뉴타닉스 클라우드 플랫폼 통합된 ‘델 파워플렉스’ 오퍼링 출시,https://www.boannews.com/media/view.asp?idx=137139&page=5&kind=3
시놀로지, DS1825+ 및 DS1525+ 출시로 DiskStation 라인업 확장,https://www.boannews.com/media/view.asp?idx=137138&page=5&kind=3
[특별기고] CISO는 경영의 핵심 파트너...‘보안’은 생존 전략,https://www.boannews.com/media/view.asp?idx=137137&page=5&kind=1
[SKT 해킹 사태] 유심, 교체냐 보호냐...각 서비스별 기능과 특징,https://www.boannews.com/media/view.asp?idx=137135&page=5&kind=1
[SKT 해킹 사태] 최태원 SK 회장, “국회 안가”...최민희 “불허”,https://www.boannews.com/media/view.asp?idx=137136&page=5&kind=1
마이데이터 전송 이렇게...개인정보위, 개인정보 전송요구권 제도 안내서 발간,https://www.boannews.com/media/view.asp?idx=137132&page=5&kind=2
[SKT 해킹 사태] SKT, 10년 전 ‘회사 귀책 있어도 위약금’ 약관으로 공정위 지적받아,https://www.boannews.com/media/view.asp?idx=137133&page=5&kind=1
[SKT 해킹 사태] “유심 교체 안내 114 번호로 나갈 것”...주말 고객센터 가동률 85%↑,https://www.boannews.com/media/view.asp?idx=137130&page=5&kind=1
이엘피케이뉴, 상용·군사 지리정보 프로그램 ‘K-Map’ 출시,https://www.boannews.com/media/view.asp?idx=137129&page=5&kind=3
