Title,Link
[SKT 해킹 사태] 유심 재설정 12일 도입..유심 교체 동일 효과,https://www.boannews.com/media/view.asp?idx=137205&page=1&kind=1
[PIS FAIR 2025 미리보기] 엔텀,https://www.boannews.com/media/view.asp?idx=137151&page=2&kind=3
[PIS FAIR 2025 미리보기] 에스에스티정보,https://www.boannews.com/media/view.asp?idx=137150&page=2&kind=3
아카마이, AI 전용 보안 솔루션 ‘AI 방화벽 출시’,https://www.boannews.com/media/view.asp?idx=137149&page=3&kind=3
항공보안학회, 제주국제大와 항공인재 양성 협력,https://www.boannews.com/media/view.asp?idx=137148&page=3&kind=3
사진 속 얼굴, ‘알씨’로 자동 모자이크,https://www.boannews.com/media/view.asp?idx=137147&page=3&kind=3
샌즈랩, AI 정보보호 국책사업 수주...70억 규모,https://www.boannews.com/media/view.asp?idx=137134&page=3&kind=1
[SKT 해킹 사태] SKT “유심보호서비스 100% 가입 완료..유심 교체는 107만건 진행”,https://www.boannews.com/media/view.asp?idx=137145&page=3&kind=1
안랩, 1분기 매출 572억원...전년 동기 대비 15.4% ↑,https://www.boannews.com/media/view.asp?idx=137144&page=3&kind=3
산업부, 국가핵심기술 신규지정·변경 추진,https://www.boannews.com/media/view.asp?idx=137142&page=3&kind=2
삼성도 당했다...‘디지털 사이니지’ 해커 공격 포착,https://www.boannews.com/media/view.asp?idx=137143&page=3&kind=1
[SKT 해킹 사태] 최태원 회장 “정보보호혁신위 구성..위약금은 이사회 논의 중”,https://www.boannews.com/media/view.asp?idx=137141&page=3&kind=1
국내 AI 산불감지시장 석권한 스피어AX의 ‘파이어워처’, 해외시장 점령 나선다,https://www.boannews.com/media/view.asp?idx=137140&page=3&kind=3
델 테크놀로지스, 뉴타닉스 클라우드 플랫폼 통합된 ‘델 파워플렉스’ 오퍼링 출시,https://www.boannews.com/media/view.asp?idx=137139&page=3&kind=3
시놀로지, DS1825+ 및 DS1525+ 출시로 DiskStation 라인업 확장,https://www.boannews.com/media/view.asp?idx=137138&page=3&kind=3
[특별기고] CISO는 경영의 핵심 파트너...‘보안’은 생존 전략,https://www.boannews.com/media/view.asp?idx=137137&page=3&kind=1
[SKT 해킹 사태] 유심, 교체냐 보호냐...각 서비스별 기능과 특징,https://www.boannews.com/media/view.asp?idx=137135&page=3&kind=1
[SKT 해킹 사태] 최태원 SK 회장, “국회 안가”...최민희 “불허”,https://www.boannews.com/media/view.asp?idx=137136&page=3&kind=1
마이데이터 전송 이렇게...개인정보위, 개인정보 전송요구권 제도 안내서 발간,https://www.boannews.com/media/view.asp?idx=137132&page=3&kind=2
[SKT 해킹 사태] SKT, 10년 전 ‘회사 귀책 있어도 위약금’ 약관으로 공정위 지적받아,https://www.boannews.com/media/view.asp?idx=137133&page=3&kind=1
[SKT 해킹 사태] “유심 교체 안내 114 번호로 나갈 것”...주말 고객센터 가동률 85%↑,https://www.boannews.com/media/view.asp?idx=137130&page=3&kind=1
이엘피케이뉴, 상용·군사 지리정보 프로그램 ‘K-Map’ 출시,https://www.boannews.com/media/view.asp?idx=137129&page=3&kind=3
[SKT 해킹 사태] 합동조사단, 추가 발견된 악성코드 8종 포렌식,https://www.boannews.com/media/view.asp?idx=137128&page=3&kind=1
유로폴, 청소년 동원 ‘범죄 외주 서비스’ 척결 나서,https://www.boannews.com/media/view.asp?idx=137127&page=4&kind=1
[배종찬의 보안 빅데이터] ‘유심 해킹’ SKT가 놓친 치명적 3가지,https://www.boannews.com/media/view.asp?idx=137125&page=4&kind=1
[SKT 해킹 사태-이슈칼럼] 해킹 이후, 우리는 무엇을 어떻게 해야 하는가?,https://www.boannews.com/media/view.asp?idx=137124&page=4&kind=1
[SKT 해킹 사태] 100% 배상 언급한 SKT...“고객 입증 부분도 있어”,https://www.boannews.com/media/view.asp?idx=137123&page=4&kind=1
[SKT 해킹 사태] BPF도어 악성코드 변종 또 발견...기업 보안 ‘빨간불’,https://www.boannews.com/media/view.asp?idx=137122&page=4&kind=1
[SKT 해킹 사태] “휴대폰 재부팅 중 복제 유심 공격 못해...FDS로 대응 가능”...5일부터 신규 영업 중지,https://www.boannews.com/media/view.asp?idx=137121&page=4&kind=1
[SKT 해킹 사태] 유심 제조업체 제대로 관리되고 있나? ‘공급망 보안’ 중요성 더 커져,https://www.boannews.com/media/view.asp?idx=137120&page=4&kind=1
한국전자인증, AI 기반 수정란 관리·우량 가축 선발 시스템 구축 MOU,https://www.boannews.com/media/view.asp?idx=137119&page=4&kind=3
“금감원 사칭 메일 주의”... 개인정보 노려,https://www.boannews.com/media/view.asp?idx=137118&page=4&kind=1
[2025 개인정보보호 솔루션 리포트] SKT 해킹 사태의 교훈... ‘개인정보보호’는 돈 버는 길,https://www.boannews.com/media/view.asp?idx=137101&page=4&kind=3
[2025 ITS 솔루션 리포트] 스마트한 세상 설계하는 ITS 기술의 현재와 미래,https://www.boannews.com/media/view.asp?idx=137035&page=4&kind=3
[SKT 해킹 사태] 유심 교체 95만명, 유심 재고 500만개 확보,https://www.boannews.com/media/view.asp?idx=137117&page=4&kind=2
[SKT 해킹 사태] 해킹 따른 번호이동 위약금 면제 가능... 입법조사처 “법적 제한 없어”,https://www.boannews.com/media/view.asp?idx=137116&page=4&kind=2
[SKT 해킹 사태] “해킹 피해 범위 더 클 수도”... 서버 조사중 악성코드 추가 발견,https://www.boannews.com/media/view.asp?idx=137115&page=4&kind=1
[SKT 해킹 사태] 국회, ‘정보유출’ 통신사 귀책시 번호이동 위약금 면제 추진,https://www.boannews.com/media/view.asp?idx=137114&page=4&kind=1
[SKT 해킹 사태] SKT, “스미싱 시도 확실히 늘어...방어 태세 높여”,https://www.boannews.com/media/view.asp?idx=137113&page=4&kind=1
[SKT 해킹 사태] 과기정통부 유상임 장관 “정보보호 체계 전반 전면 재검토”,https://www.boannews.com/media/view.asp?idx=137112&page=4&kind=1
[RSAC 2025 결산] 다양성과 협업의 향연...나흘간 일정 마쳐,https://www.boannews.com/media/view.asp?idx=137111&page=4&kind=1
22주년 맞이한 SGA그룹, ‘SGA 3.0’ 비전 공개,https://www.boannews.com/media/view.asp?idx=137110&page=4&kind=3
[SKT 해킹 사태] 기다리다 지쳤는데..별도 구입한 공 ‘유심’으로 교체 가능할까,https://www.boannews.com/media/view.asp?idx=137103&page=4&kind=1
[SKT 해킹 사태] SKT 가입자 이탈, 한 달 새 87% 급증... 1위 지위 ‘흔들’,https://www.boannews.com/media/view.asp?idx=137109&page=5&kind=1
원스테크넷-으뜸정보기술, 클라우드 분야 ‘맞손’,https://www.boannews.com/media/view.asp?idx=137108&page=5&kind=3
티오리-옥타, 전략적 보안 파트너십 체결,https://www.boannews.com/media/view.asp?idx=137105&page=5&kind=3
[SKT 해킹 사태] 팩트 체크 나선 SKT “유심 정보만으로 계좌에서 돈 빼낼 수 없어”,https://www.boannews.com/media/view.asp?idx=137102&page=5&kind=1
안랩, RSA 컨퍼런스에서 AI 보안 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=137106&page=5&kind=3
[SKT 해킹 사태] 임원진 Q&A “위약금 면제는 아직... 검토중”,https://www.boannews.com/media/view.asp?idx=137104&page=5&kind=1
[SKT 해킹 사태] 불안감 커진 국민들... 통신 3사의 보안·안전 부가서비스 총정리,https://www.boannews.com/media/view.asp?idx=137099&page=5&kind=1
[SKT 해킹 사태] 유심 복제? 심스와핑? Q&A로 풀어본 오해와 진실,https://www.boannews.com/media/view.asp?idx=137098&page=5&kind=1
SKT와 보험대리점 이어 ‘알바몬’도 해킹...이력서 정보 2.2만건 유출,https://www.boannews.com/media/view.asp?idx=137100&page=5&kind=1
[SKT 해킹 사태] 국민 10명중 9명, 디지털 보안 사고 ‘징벌적 손해배상’ 필요,https://www.boannews.com/media/view.asp?idx=137095&page=5&kind=1
국정원-민관군 연합팀, NATO 사이버방어 훈련 락드쉴즈 2025 참가,https://www.boannews.com/media/view.asp?idx=137097&page=5&kind=2
[SKT 해킹 사태] 개인정보위, “SKT 유출 사고 후 고객 공지 및 피해 예방 대처 미흡”,https://www.boannews.com/media/view.asp?idx=137096&page=5&kind=1
[SKT 해킹 사태] “신규 고객 영업 정지에 위약금 면제 압박”...보안 위기가 기업 전체 위기로,https://www.boannews.com/media/view.asp?idx=137094&page=5&kind=1
[SKT 해킹 사태] USIM 입고 스미싱 문자 기승..SKT 공식 문자는 링크 없어,https://www.boannews.com/media/view.asp?idx=137093&page=5&kind=1
[SKT 해킹 사태] SKT, “신규 가입 및 번호 이동 중단... 유심보호서비스 자동 가입”,https://www.boannews.com/media/view.asp?idx=137092&page=5&kind=1
[SKT 해킹 사태] SK텔레콤, 해킹 인지 후 유심 유출 은폐 정황 드러났다,https://www.boannews.com/media/view.asp?idx=137091&page=5&kind=1
Group-IB ‘2025년 Global CTI 기술 혁신 리더십’ 수상,https://www.boannews.com/media/view.asp?idx=137088&page=5&kind=3
[SKT 해킹 사태][단독] 통신 3사 보안 강화 필요성 더 커지는데... KT CISO는 아직 구인중,https://www.boannews.com/media/view.asp?idx=137090&page=5&kind=1
[SKT 해킹 사태] 2주 간의 타임라인으로 본 사건의 재구성,https://www.boannews.com/media/view.asp?idx=137089&page=5&kind=1
잉카인터넷, SKT 해킹 ‘BPF도어’ 악성코드 전용 백신 무료 배포,https://www.boannews.com/media/view.asp?idx=137087&page=5&kind=3
