Title,Link
안랩, 맞춤형 보안전략 제시...산업별 세미나 개최,https://www.boannews.com/media/view.asp?idx=137266&page=3&kind=3
Omada, ‘OC220’ 하드웨어 컨트롤러 출시...중소 사업장 및 숙박업 정조준,https://www.boannews.com/media/view.asp?idx=137262&page=3&kind=3
[PIS FAIR 2025 미리보기] 파수,https://www.boannews.com/media/view.asp?idx=137250&page=3&kind=3
[PIS FAIR 2025 미리보기] 인스피언,https://www.boannews.com/media/view.asp?idx=137247&page=3&kind=3
카스퍼스키 “방화벽 쌓기보다 선제적 예방 투자해야”,https://www.boannews.com/media/view.asp?idx=137265&page=3&kind=3
구글 지도 반출 결정 8월로 연기,https://www.boannews.com/media/view.asp?idx=137264&page=3&kind=2
최수진 의원 “디올 해킹 사고 KISA에 미신고, 과태료 처벌 대상”,https://www.boannews.com/media/view.asp?idx=137263&page=3&kind=1
양자 프로세서 다수 연결, ‘슈퍼 양자컴’ 탄생...과기정통부, 750억 투입,https://www.boannews.com/media/view.asp?idx=137261&page=3&kind=2
시큐어시스템즈, NATO 사이버 방어 훈련 락드쉴즈 참여,https://www.boannews.com/media/view.asp?idx=137258&page=4&kind=3
기원테크, 이메일 보안 솔루션 쇼케이스 개최,https://www.boannews.com/media/view.asp?idx=137257&page=4&kind=3
개보위, ‘개인정보 정책포럼’ 개최...CPO들과 개인정보 안전 논의,https://www.boannews.com/media/view.asp?idx=137256&page=4&kind=2
[SKT 해킹 사태] SK, 정보보호 특위 가동...각 계열사 모의 해킹도,https://www.boannews.com/media/view.asp?idx=137255&page=4&kind=1
국내 방산업계, 美 진출 위해 보안 인증 ‘CMMC’ 대비해야,https://www.boannews.com/media/view.asp?idx=137249&page=4&kind=2
엔시큐어 ‘서비스 장애관리 솔루션’, 조달청 디지털서비스몰 등록,https://www.boannews.com/media/view.asp?idx=137251&page=4&kind=3
[SKT 해킹 사태-이슈칼럼] 보안사고에 대처하는 CEO와 CISO의 자세,https://www.boannews.com/media/view.asp?idx=137248&page=4&kind=1
[한국정보보호학회 칼럼] 제로트러스트, 보안 기준은 신뢰 아닌 ‘검증’,https://www.boannews.com/media/view.asp?idx=137246&page=4&kind=3
DJI, 트리플 시스템으로 창의적 항공 촬영 돕는 ‘DJI Mavic 4 Pro’ 출시,https://www.boannews.com/media/view.asp?idx=137245&page=4&kind=3
FutureSpace 2025, 공간과 기술의 융합 비전 제시,https://www.boannews.com/media/view.asp?idx=137244&page=4&kind=3
첨단미래포럼·연구회, AI 도시안전 전략 논의,https://www.boannews.com/media/view.asp?idx=137243&page=4&kind=3
[카드뉴스] 교황 선출 ‘콘클라베’, 800년 전부터 증명된 Zero-Trust 규칙!,https://www.boannews.com/media/view.asp?idx=137242&page=4&kind=1
[PIS FAIR 2025 미리보기] 나일소프트,https://www.boannews.com/media/view.asp?idx=137161&page=4&kind=3
[PIS FAIR 2025 미리보기] 엔소프테크놀러지,https://www.boannews.com/media/view.asp?idx=137160&page=4&kind=3
[한국정보공학기술사 보안을 論하다-15] 정보보호 공시제도 시행 10주년과 앞으로 나아가야 할 길,https://www.boannews.com/media/view.asp?idx=137241&page=4&kind=6
엑스게이트 “SKT 사태로 VPN 문의 급증...양자 통신 보안으로 무장”,https://www.boannews.com/media/view.asp?idx=137240&page=4&kind=3
