Title,Link
[SKT 해킹 사태] “해킹 피해 범위 더 클 수도”... 서버 조사중 악성코드 추가 발견,https://www.boannews.com/media/view.asp?idx=137115&page=1&kind=1
[RSAC 2025] 시스코, “AI 시대 보안을 재정의”,https://www.boannews.com/media/view.asp?idx=137047&page=3&kind=3
[RSAC 2025] 센스톤, ‘RSAC 2025’서 글로벌 인포섹 어워즈 위너 수상,https://www.boannews.com/media/view.asp?idx=137042&page=3&kind=3
[SKT 해킹 사태] SKT, 유심 재고 없으니 “소프트웨어적으로 해결”...내달 유심 포맷 도입,https://www.boannews.com/media/view.asp?idx=137045&page=3&kind=1
[SKT 해킹 사태] 민관조사단, “SKT 가입자식별키 유출 확인...유심보호서비스는 가입해야”,https://www.boannews.com/media/view.asp?idx=137043&page=3&kind=1
[테크칼럼] AI 시대의 보안 패러다임, MLSecOps가 필요한 이유,https://www.boannews.com/media/view.asp?idx=137040&page=3&kind=5
한국암호포럼 주관, ‘2025년 국가암호공모전’ 개최,https://www.boannews.com/media/view.asp?idx=137034&page=4&kind=3
한드림넷, 재팬IT위크서 일본用 보안스위치 선봬,https://www.boannews.com/media/view.asp?idx=137039&page=4&kind=3
[SKT 해킹 사태] SKT, ISMS 인증받아도 해킹..실효성 강화 시급,https://www.boannews.com/media/view.asp?idx=137038&page=4&kind=1
[SKT 해킹 사태] 과기정통부 장관, “(SKT) 신고 지연은 합당한 처벌 받을 것”,https://www.boannews.com/media/view.asp?idx=137037&page=4&kind=1
[SKT 해킹 사태] SKT 유심 교체 하루 만에 28만명,https://www.boannews.com/media/view.asp?idx=137036&page=4&kind=3
열화상 솔루션 한눈에..MDS테크 ‘FLIR 보안 세미나’ 개최,https://www.boannews.com/media/view.asp?idx=136987&page=4&kind=3
[SKT 해킹 사태] SKT 집단 행동 효과 있을까?...솜방망이 배상이 문제 키워,https://www.boannews.com/media/view.asp?idx=137033&page=4&kind=1
[RSAC 2025] 세계 최대 정보보안 전시·콘퍼런스 개막...보안 공동체 연대 강조,https://www.boannews.com/media/view.asp?idx=137030&page=4&kind=1
[배종찬의 보안 빅데이터] 인공지능(AI)의 일상화와 ‘中 딥시크’ 충격파,https://www.boannews.com/media/view.asp?idx=137032&page=4&kind=3
이스라엘 클라우드-AI 보안 기업 센트라, 5000만달러 투자 유치,https://www.boannews.com/media/view.asp?idx=137009&page=4&kind=3
KB국민은행-오리엔텀, 양자 컴퓨팅으로 금융 혁신한다,https://www.boannews.com/media/view.asp?idx=137029&page=4&kind=3
‘축사로’가 끝 아니었다...농진청 회원정보  47만 건 이상 유출 확인,https://www.boannews.com/media/view.asp?idx=137028&page=4&kind=1
[SKT 해킹 사태] SKT 해킹에 쓰인 ‘BPF도어’ 악성코드는 무엇?,https://www.boannews.com/media/view.asp?idx=137027&page=4&kind=1
밤에도 선명하게...다화테크놀로지, 위즈컬러 신제품 라인업 공개,https://www.boannews.com/media/view.asp?idx=137024&page=4&kind=3
펜타시큐리티, 지능형 WAAP ‘와플’ 20주년 맞아,https://www.boannews.com/media/view.asp?idx=137001&page=4&kind=3
기원테크, 이메일 운영 보안 ‘표준화 항목’ 승인,https://www.boannews.com/media/view.asp?idx=137018&page=4&kind=3
[국회 과방위 성명] SKT 해킹 사태, 국민 불안 방치 말고 실질적 피해 대책 즉각 시행하라! [전문],https://www.boannews.com/media/view.asp?idx=137026&page=4&kind=1
[SKT 해킹 사태] 유심보호서비스, 예상 대기 시간 125시간?...단말기에서도 유심 비밀번호 설정 가능,https://www.boannews.com/media/view.asp?idx=137023&page=4&kind=1
[SKT 해킹 사태] 정부와 정치권, 해킹 대책 미흡한 SKT 질타,https://www.boannews.com/media/view.asp?idx=137025&page=4&kind=1
[SKT 해킹 사태] KISA, SK텔레콤 유심 해킹 ‘신고 시간’ 혼선 해명,https://www.boannews.com/media/view.asp?idx=137019&page=4&kind=1
[SKT 해킹 사태] 유심 교체 vs 유심 보호...유심보호서비스만으로 안심해도 될까?,https://www.boannews.com/media/view.asp?idx=137022&page=5&kind=1
[SKT 해킹 사태] SKT 유심 정보 유출로 본 최악의 시나리오 ‘심스와핑’,https://www.boannews.com/media/view.asp?idx=137021&page=5&kind=1
[SKT 해킹 사태] [사람과 보안] SKT ‘유심 해킹 사태’ 벌금만 내면 장땡?,https://www.boannews.com/media/view.asp?idx=136993&page=5&kind=1
[한국정보공학기술사 보안을 論하다-14] 제로트러스트가 만드는 트러스트 시대,https://www.boannews.com/media/view.asp?idx=137020&page=5&kind=3
GA 해킹사고 발생..전산솔루션 해킹이 원인,https://www.boannews.com/media/view.asp?idx=137017&page=5&kind=1
티피링크, 호남 지역 사업 확장 및 파트너 협력 강화 위한 워크숍 개최,https://www.boannews.com/media/view.asp?idx=137010&page=5&kind=3
HS효성, 차세대 스토리지 플랫폼 ‘VSP One’ 새 기능 공개,https://www.boannews.com/media/view.asp?idx=137011&page=5&kind=3
정부 사업 노하우, ISMS-P 인사이트 공유..지란지교소프트, ‘보안 밋업’ 개최,https://www.boannews.com/media/view.asp?idx=137016&page=5&kind=2
알체라, 호주에 화재 조기감지 AI 솔루션 ‘파이어스카우트’ 공급 확대,https://www.boannews.com/media/view.asp?idx=137012&page=5&kind=3
쿠도-넷스코프, SASE 기반 최신 보안 기술 공유,https://www.boannews.com/media/view.asp?idx=137013&page=5&kind=1
한국인터넷정보학회, 제51차 임시총회 및 춘계학술발표대회 성황리 개최,https://www.boannews.com/media/view.asp?idx=137008&page=5&kind=3
카스퍼스키, 백신 성능 테스트 참여 1000회 돌파...작년 테스트 97%에서 톱3 들어,https://www.boannews.com/media/view.asp?idx=137015&page=5&kind=3
[SKT 해킹 사태] “유심 무상 교체” 키워드 악용한 피싱 공격 주의보!,https://www.boannews.com/media/view.asp?idx=137014&page=5&kind=1
넷앤드, 증권사 고객 초청 세미나 성료,https://www.boannews.com/media/view.asp?idx=137006&page=5&kind=3
[SKT 해킹 사태] SKT, 유심 교체 예약 시스템 가동,https://www.boannews.com/media/view.asp?idx=137007&page=5&kind=1
1분기 보이스피싱 피해액 3000억..1년 만에 두배,https://www.boannews.com/media/view.asp?idx=137005&page=5&kind=1
[SKT 해킹 사태] KISA, SKT 해킹 악성코드 공개...보안 점검 권고,https://www.boannews.com/media/view.asp?idx=137004&page=5&kind=1
도시바, 광통신망에서 250km QKD 양자 통신 구현,https://www.boannews.com/media/view.asp?idx=137002&page=5&kind=5
北 라자루스, 국내 IT·반도체 등 6곳 해킹... 새로운 ‘오퍼레이션 싱크홀’ 공격,https://www.boannews.com/media/view.asp?idx=137003&page=5&kind=1
안랩, 日 춘계 IT위크 참가..글로벌 전략 솔루션 소개,https://www.boannews.com/media/view.asp?idx=137000&page=5&kind=2
