Title,Link
산업 현장에서 사용되는 와이파이 장비에서 20개 넘는 취약점 나와,https://www.boannews.com/media/view.asp?idx=134760&page=3&kind=1
미국 대형 통신사 티모바일, “중국 APT의 침해 시도 있었다” 고발,https://www.boannews.com/media/view.asp?idx=134759&page=3&kind=1
영국의 대형 병원인 WUTH, 사이버 공격 받아 마비돼,https://www.boannews.com/media/view.asp?idx=134758&page=3&kind=1
[한국정보공학기술사 보안을 論하다-9] 기술적 보안의 효과를 극대화하려면,https://www.boannews.com/media/view.asp?idx=134746&page=3&kind=6
금융보안원 장운영 팀장 “SW 공급망 생태계 참여자, 자율보안 역량 강화해야”,https://www.boannews.com/media/view.asp?idx=134743&page=3&kind=1
정부, 불법 스팸 근절 위한 ‘스팸 방지 종합대책’ 발표,https://www.boannews.com/media/view.asp?idx=134744&page=3&kind=2
과기정통부, ‘통신재난 보고의무 미준수’ 메타에 과태료 500만원 부과,https://www.boannews.com/media/view.asp?idx=134742&page=3&kind=2
개인정보보호법학회 “국내 개인정보 보호법의 현주소와 과제는?”,https://www.boannews.com/media/view.asp?idx=134741&page=3&kind=2
ADT캡스, 전기차 배터리 화재 예방 서비스 도입,https://www.boannews.com/media/view.asp?idx=134740&page=4&kind=3
팔로알토 네트웍스, ‘이그나이트 온 투어 부산’에서 사이버 보안 솔루션과 트렌드 공유,https://www.boannews.com/media/view.asp?idx=134739&page=4&kind=3
전 세계 46개국 기업 86%, ‘사이버 보안 강화 위한 조치 시행 중’,https://www.boannews.com/media/view.asp?idx=134738&page=4&kind=3
한국우주안보학회 이재우 회장 “안보로 보는 우주, 우주로 보는 안보의 시간 도래”,https://www.boannews.com/media/view.asp?idx=134705&page=4&kind=2
과기정통부, 제3기 인공지능 윤리·신뢰성 포럼 공개세미나 개최,https://www.boannews.com/media/view.asp?idx=134728&page=4&kind=2
새로운 안보 위협 ‘인지전’ 본격화... 우리 안보는 어떻게 지켜내야 할까?,https://www.boannews.com/media/view.asp?idx=134734&page=4&kind=2
장애인고용공단, 부·울·경 디지털 인력 양성의 중심 부산디지털훈련센터 개소,https://www.boannews.com/media/view.asp?idx=134707&page=4&kind=2
올해 최고 발명은 레티널 ‘AR 스마트 안경’,https://www.boannews.com/media/view.asp?idx=134708&page=4&kind=2
민·관·학·연 디지털 헬스 리더 모여 한 해 동안의 경험과 사례 공유한다,https://www.boannews.com/media/view.asp?idx=134709&page=4&kind=2
