Title,Link
KT-프라이빗테크놀로지, 국가망 보안체계(N²SF) 기반 사업 협력 MOU,https://www.boannews.com/media/view.asp?idx=138348&page=4&kind=3
조작된 패킷 하나로 스마트폰 통신 마비 가능...KAIST, 보안 취약점 발견,https://www.boannews.com/media/view.asp?idx=138349&page=4&kind=5
“국민에게 전가되는 피해 바로 잡아야”...망 이용 질서 확립을 위한 정책토론회 개최,https://www.boannews.com/media/view.asp?idx=138346&page=4&kind=2
트럼프표 AI도 ‘보안’이 전제… ‘AI 액션 플랜’ 곳곳에 보안 강조,https://www.boannews.com/media/view.asp?idx=138347&page=4&kind=2
인천환경공단, 개인정보보호 전문교육 및 실무협의회 개최,https://www.boannews.com/media/view.asp?idx=138345&page=4&kind=2
[제품리뷰] 기술의 진화, 공간의 혁신: 씨게이트 30TB 스토리지,https://www.boannews.com/media/view.asp?idx=138344&page=4&kind=3
[사람과 보안] 이재명 정부 AI 전략을 다시 묻다⑤ ‘공공 AI’ 민주와 인권을 위협하다,https://www.boannews.com/media/view.asp?idx=138342&page=4&kind=2
앤앤에스피, ‘앤넷CDS 가드 V2.0’ 보안기능 확인서·GS인증 1등급 동시 획득,https://www.boannews.com/media/view.asp?idx=138343&page=4&kind=3
“개인정보 수집할 때 ‘필수 동의’ 줄여라”...개인정보위, 카카오톡 등 개인정보 관리 실태 사전 점검,https://www.boannews.com/media/view.asp?idx=138339&page=4&kind=2
KISIA-KCA, 정보보호 전문인력 양성 협력,https://www.boannews.com/media/view.asp?idx=138340&page=4&kind=2
또 SSL-VPN 보안 미흡 랜섬웨어...해성디에스도 당해,https://www.boannews.com/media/view.asp?idx=138341&page=4&kind=1
[ISEC 2025 미리보기] 엔시큐어, CCTV 운영 안정성 높이는 ‘AUNES for CCTV’ 선보여,https://www.boannews.com/media/view.asp?idx=138279&page=4&kind=3
SK텔레콤, 한국어 특화 AI 자립 실현 나선다,https://www.boannews.com/media/view.asp?idx=138335&page=4&kind=3
KAIT, 정보 취약 계층 대상 민생회복 소비쿠폰 사칭 피해예방 중점 교육,https://www.boannews.com/media/view.asp?idx=138336&page=4&kind=2
모바일 게임 ‘삼국지 전략판’ 운영사, 주민등록번호 수집해 과징금,https://www.boannews.com/media/view.asp?idx=138338&page=4&kind=2
영국, 랜섬웨어 ‘몸값 지불 금지’ 추진…한국은 제도 미비,https://www.boannews.com/media/view.asp?idx=138331&page=4&kind=2
에스트래픽, KT에 고성능 바디캠 공급...AI 기반 스마트 치안 인프라 지원,https://www.boannews.com/media/view.asp?idx=138333&page=4&kind=2
카스퍼스키, 인터폴 인포스틸러 조직 분쇄 작전 지원...국제 사이버범죄 대응,https://www.boannews.com/media/view.asp?idx=138328&page=4&kind=2
한국공항보안, 전국 지사와 노사 공동 인권경영 선언,https://www.boannews.com/media/view.asp?idx=138332&page=5&kind=3
델 테크놀로지스, ‘델 프로 맥스’ 모바일 워크스테이션 신제품 6종 공개,https://www.boannews.com/media/view.asp?idx=138330&page=5&kind=3
토스에서 개인정보 유출 실시간 알림 받는다…샌즈랩 ‘IDPW’ 제공,https://www.boannews.com/media/view.asp?idx=138329&page=5&kind=3
미국 미사일 기밀 중국에 넘긴 이중국적 실리콘밸리 엔지니어 유죄,https://www.boannews.com/media/view.asp?idx=138327&page=5&kind=1
[ISEC 2025 미리보기] 한국요꼬가와, OT보안 통합 솔루션 소개,https://www.boannews.com/media/view.asp?idx=138278&page=5&kind=3
[ISEC 2025 미리보기] 이너버스, ‘로그센터 SIEM’으로 통합 보안 혁신 선도,https://www.boannews.com/media/view.asp?idx=138276&page=5&kind=3
[배종찬의 보안 빅데이터] 여름휴가, 보안 걱정 없는 ‘핵’ 꿀팁,https://www.boannews.com/media/view.asp?idx=138326&page=5&kind=1
네이버·토스·카뱅 앱으로 모바일 신분증 발급된다,https://www.boannews.com/media/view.asp?idx=138325&page=5&kind=2
‘국가대표 해커’ 두뇌 심은 ‘AI 화이트해커’ 온다…박세준 티오리 대표 인터뷰 ②,https://www.boannews.com/media/view.asp?idx=138323&page=5&kind=3
[IP人] 함수영 원니스 대표(전 KAIPS 초대 감사) 빙모상,https://www.boannews.com/media/view.asp?idx=138324&page=5&kind=1
상표 등록, F1급 스피드업!,https://www.boannews.com/media/view.asp?idx=138322&page=5&kind=1
AI특허, 심사는 어떻게?...가이드 나온다,https://www.boannews.com/media/view.asp?idx=138321&page=5&kind=1
한국퀀텀컴퓨팅, 국내 최초 양자내성암호 기반 보안 솔루션 상용화 본격화 나서,https://www.boannews.com/media/view.asp?idx=138319&page=5&kind=3
포티넷, 금융 랜섬웨어 보안 위협 대응 웨비나 진행,https://www.boannews.com/media/view.asp?idx=138316&page=5&kind=3
SGI 등 잇따른 해킹으로 부각된 VPN 보안…‘양자보안’으로 지킨다,https://www.boannews.com/media/view.asp?idx=138317&page=5&kind=3
과기정통부-여성가족부 "아동·청소년 디지털 성범죄 근절에 AI 활용",https://www.boannews.com/media/view.asp?idx=138306&page=5&kind=2
[ISEC 2025 미리보기] 수산아이앤티, eWalker SSG로 AI 위협 차단 및 SaaS 보안 강화,https://www.boannews.com/media/view.asp?idx=138297&page=5&kind=3
美 핵무기 관리 기관 MS 쉐어포인트 해킹 침해…국가안보 우려 확산,https://www.boannews.com/media/view.asp?idx=138314&page=5&kind=1
옵텍스, 라이다 센서 ‘RLS-3060V/RLS-50100V’ 출시,https://www.boannews.com/media/view.asp?idx=138315&page=5&kind=3
파수, DSP 클라우드 출시...“SaaS로 빠르고 쉽게, 데이터 보안 체계 구축”,https://www.boannews.com/media/view.asp?idx=138312&page=5&kind=3
