Title,Link
파수, 더 강력해진 ‘마인드셋’으로 랜섬웨어 예방 지원,https://www.boannews.com/media/view.asp?idx=138187&page=3&kind=3
앤앤에스피, OT 보안 풀라인업 완성…주요기반시설 및 제조·인프라 산업 보안 강화,https://www.boannews.com/media/view.asp?idx=138186&page=3&kind=3
KISIA, 인도네시아 보안 인재 양성...운수르야 대학과 업무협약,https://www.boannews.com/media/view.asp?idx=138185&page=3&kind=2
코오롱베니트, LG 엑사원 기반 소버린 AI 패키지 ‘AI 비전 인텔리전스’ 공개,https://www.boannews.com/media/view.asp?idx=138184&page=3&kind=3
라온시큐어, 코스타리카 대학·협회·교육기관 디지털 ID 구축,https://www.boannews.com/media/view.asp?idx=138183&page=3&kind=3
[ISEC 2025 미리보기] 지란지교 그룹, 관리자 실무 편의성 높인 정보보호 관리 방안 제시,https://www.boannews.com/media/view.asp?idx=138165&page=3&kind=3
[ISEC 2025 미리보기] 패킷고 ZTNA, ‘데이터 중심’ 제로 트러스트 보안 모델 제시,https://www.boannews.com/media/view.asp?idx=138164&page=3&kind=3
[ISEC 2025 미리보기] 파이오링크, 티프론트 ZT로 마이크로 세그멘테이션 구현,https://www.boannews.com/media/view.asp?idx=138162&page=3&kind=3
금융보안원 ‘금융분야 개인(신용)정보 보호 세미나’ 성료,https://www.boannews.com/media/view.asp?idx=138182&page=3&kind=2
[SGI서울보증 랜섬웨어] 보증 없는 대출만 하루 600억? 국내 최대 종합보증기관 업무 마비로 피해 속출,https://www.boannews.com/media/view.asp?idx=138181&page=3&kind=1
LG유플러스, AI로 ‘미끼 문자’ 잡았다...스팸 문자 차단 1.4배 증가,https://www.boannews.com/media/view.asp?idx=138180&page=3&kind=3
펜타시큐리티, WAAP 솔루션 ‘와플’ 우수성 인정...‘올해의 보안 기업’ 수상,https://www.boannews.com/media/view.asp?idx=138179&page=3&kind=3
[SGI서울보증 랜섬웨어] 공격 배후 추정 ‘건라’, 어떤 조직이길래?,https://www.boannews.com/media/view.asp?idx=138178&page=3&kind=1
업비트, 보안 인재 채용 연계 플랫폼 ‘업사이드 링크’ 오픈,https://www.boannews.com/media/view.asp?idx=138177&page=4&kind=3
[카드뉴스] “사이버 보안? 그건 출입증부터!”,https://www.boannews.com/media/view.asp?idx=138176&page=4&kind=1
한국첨단안전산업협회-명지대 하이브리드구조실험센터 업무협약 체결,https://www.boannews.com/media/view.asp?idx=138175&page=4&kind=3
라온로드-아이나비시스템즈, 스마트시티 구축 및 글로벌사업 협력 MOU 체결,https://www.boannews.com/media/view.asp?idx=138174&page=4&kind=3
[한국정보공학기술사 보안을 論하다-19] 생성형 AI의 이중성: 혁신과 위협 사이에서의 균형,https://www.boannews.com/media/view.asp?idx=138173&page=4&kind=3
‘보안 투자 톱3’ 쿠팡 CISO 메시지 ‘선제적 보안’ ...제146차 CISO 포럼,https://www.boannews.com/media/view.asp?idx=138171&page=4&kind=3
AI에 지메일 요약 시켰더니...해킹 당했다,https://www.boannews.com/media/view.asp?idx=138172&page=4&kind=1
광장, ‘일본 IP실무 최신 동향 및 이슈’ 세미나 개최...日 AIK와 공동,https://www.boannews.com/media/view.asp?idx=138170&page=4&kind=3
세이퍼존, ‘서버 아이언 돔’ 출시...서버용 올인원 보안 제품,https://www.boannews.com/media/view.asp?idx=138167&page=4&kind=3
[IP포토] 특허심판원, ‘심판-조정 연계제’ 교육 실시...변리사 분쟁 해결 능력 강화차,https://www.boannews.com/media/view.asp?idx=138169&page=4&kind=1
[한국융합보안학회 칼럼] 해킹 위협에 따른 융합보안과 보안의 절대 중요성,https://www.boannews.com/media/view.asp?idx=138168&page=4&kind=6
[ISEC 2025 미리보기] 진네트웍스, 키팩터 솔루션으로 인증서 관리 시장 공략,https://www.boannews.com/media/view.asp?idx=138131&page=4&kind=3
KT, 5년간 정보보호 예산 1조 쓴다... SKT발 보안투자 경쟁 ‘활활’,https://www.boannews.com/media/view.asp?idx=138166&page=4&kind=3
ADT캡스, 아르떼뮤지엄에 맞춤형 서비스 도입으로 안전한 관람 환경 조성,https://www.boannews.com/media/view.asp?idx=138163&page=4&kind=3
지란지교소프트, 대한법률구조공단에 ‘나모 크로스에디터4’ 공급,https://www.boannews.com/media/view.asp?idx=138161&page=4&kind=1
명상교육진흥원, ‘AI 수어 명상’ 콘텐츠 개발,https://www.boannews.com/media/view.asp?idx=138160&page=4&kind=3
LG유플러스, 공항철도에 이음 5G 특화망 구축,https://www.boannews.com/media/view.asp?idx=138159&page=4&kind=2
[ISEC 2025 미리보기] 인트브릿지, 정보보호 인증 통합관리 솔루션 ‘컴플라인’ 선보여,https://www.boannews.com/media/view.asp?idx=138143&page=4&kind=3
‘마이크로소프트 엘리베이트’ 출범...사람 우선한 AI 미래 열어,https://www.boannews.com/media/view.asp?idx=138157&page=4&kind=2
MS, 포레스터 보고서 ‘제로 트러스트 플랫폼 리더’ 선정,https://www.boannews.com/media/view.asp?idx=138158&page=4&kind=3
국방기술품질원, 국방 AI 표준화 워킹그룹 출범,https://www.boannews.com/media/view.asp?idx=138156&page=5&kind=2
[ISEC 2025 미리보기] 소프트플로우, SBOM 기반 공급망 보안 강화 전략 소개,https://www.boannews.com/media/view.asp?idx=138150&page=5&kind=1
행정안전부-하이트진로 ‘모바일 신분증 활용해 책임 있는 음주문화 조성 위한 업무협약’ 체결,https://www.boannews.com/media/view.asp?idx=138155&page=5&kind=2
소방청, 교육부와 함께 ‘찾아가는 소방안전교육’ 긴급 확대 실시,https://www.boannews.com/media/view.asp?idx=138154&page=5&kind=2
[주목! 이 보안기술] “암호화 속 숨은 악성코드 꼼짝마”…수산아이앤티 ‘e프리즘 SSL VA’,https://www.boannews.com/media/view.asp?idx=138152&page=5&kind=2
핀텔의 에이전틱 AI 플랫폼 ‘PREVAX 4.0’, 스마트도시의 새로운 기준으로 주목,https://www.boannews.com/media/view.asp?idx=138153&page=5&kind=3
한국인터넷정보학회, 태국에서 제20회 APIC-IST 2025 국제학술대회 성황리 개최,https://www.boannews.com/media/view.asp?idx=138151&page=5&kind=3
센티넬원 “한글 AI가 알려주는 우리 회사 보안 현황은?”,https://www.boannews.com/media/view.asp?idx=138149&page=5&kind=3
[ISEC 2025 미리보기] 엔피코어, ‘좀비제로 XDR’·‘랜섬제로’로 기업 보안 시장 공략 강화,https://www.boannews.com/media/view.asp?idx=138138&page=5&kind=3
[ISEC 2025 미리보기] 다온기술, AI 기반 탐지 플랫폼 ‘GLIMPS’ 선보여,https://www.boannews.com/media/view.asp?idx=138144&page=5&kind=1
[ISEC 2025 미리보기] 디알엠인사이드, 제로트러스트 기반 웹 보안 솔루션 Web-X DRM v2.0 소개,https://www.boannews.com/media/view.asp?idx=138128&page=5&kind=3
티피링크, Wi-Fi 7 게이밍 공유기 ‘Archer GE230’ 출시,https://www.boannews.com/media/view.asp?idx=138148&page=5&kind=3
고령군, 2025년 간부공무원 개인정보보호 교육 실시,https://www.boannews.com/media/view.asp?idx=138147&page=5&kind=2
조달청, 하반기 국민체감 조달개혁... 국정과제 지원 정책에 역점,https://www.boannews.com/media/view.asp?idx=138146&page=5&kind=2
韓 여성·청년 스타트업 ‘코드그림’, WIPO 글로벌어워즈 수상,https://www.boannews.com/media/view.asp?idx=138142&page=5&kind=1
엔키화이트햇, 코드게이트 2025 문제 출제 및 운영 지원 수행,https://www.boannews.com/media/view.asp?idx=138141&page=5&kind=1
포티넷, ‘글로벌 OT 사이버보안 현황 보고서’ 발표...경영 주요 과제로 OT 보안 급부상,https://www.boannews.com/media/view.asp?idx=138139&page=5&kind=1
[SGI서울보증 랜섬웨어] 서울보증보험 서비스 장애, 비상 출근한 보안팀...또 랜섬웨어?,https://www.boannews.com/media/view.asp?idx=138136&page=5&kind=1
지재위, 영업비밀 등 피해액 산정제도 개선 ‘연구반’ 출범,https://www.boannews.com/media/view.asp?idx=138134&page=5&kind=1
NIA-LG유플러스, PQC 전환 맞손...양자내성암호 전환 기술 공모전개최,https://www.boannews.com/media/view.asp?idx=138132&page=5&kind=1
