Title,Link
[정보보호 주간] 공급망 보안은 제품 설계 첫 단계부터...KISA, ‘시큐어 바이 디자인’ 협약식 개최,https://www.boannews.com/media/view.asp?idx=138070&page=5&kind=2
시스코, 벤 도슨 신임 APJC 지역 총괄 사장 및 세일즈 책임자 선임,https://www.boannews.com/media/view.asp?idx=138069&page=5&kind=1
카스퍼스키, 이더리움 수수료 사기 웹사이트 탐지...사용자 주의 권고,https://www.boannews.com/media/view.asp?idx=138068&page=5&kind=1
[정보보호 주간] 김태성 교수 “사이버 보안 인력 양성, 하드 데이터와 융합교육이 핵심”,https://www.boannews.com/media/view.asp?idx=138067&page=5&kind=1
[정보보호 주간] 스패로우, 신뢰할 수 있는 SW 공급망 형성 방안 제시...2025 공급망 보안 워크숍,https://www.boannews.com/media/view.asp?idx=138066&page=5&kind=1
조달청, 나라장터 종합쇼핑몰 인증관리 개선으로 행정 부담 줄이고 정보 정확성 높인다,https://www.boannews.com/media/view.asp?idx=138065&page=5&kind=2
감사원, ‘다봄 CCTV 성능 문제·납품 과정 위법 없음’ 무혐의 결론,https://www.boannews.com/media/view.asp?idx=138064&page=5&kind=1
파이오링크, 제로트러스트를 위한 ‘네트워크 초세분화’ 시연,https://www.boannews.com/media/view.asp?idx=138063&page=5&kind=1
[정보보호 주간] ‘제로트러스트’와 ‘AI’ 보안 기술 선보인 보안 기업들...제14회 정보보호의 날,https://www.boannews.com/media/view.asp?idx=138062&page=5&kind=3
[정보보호 주간] 李 대통령, “튼튼한 사이버보안으로 AI 3대 강국 현실화”...제14회 정보보호의 날,https://www.boannews.com/media/view.asp?idx=138058&page=5&kind=2
[이원태의 글로벌 AI안보 전략-1] 글로벌 AI안보의 지정학적 풍경과 한국의 전략적 선택,https://www.boannews.com/media/view.asp?idx=138060&page=5&kind=4
[카드뉴스] “실시간 사장님 화상 호출” … 사실은 AI가 만든 가짜라면?,https://www.boannews.com/media/view.asp?idx=138061&page=5&kind=1
[배종찬의 보안 빅데이터] CCTV, 일상의 감시자인가 보호자인가,https://www.boannews.com/media/view.asp?idx=138059&page=5&kind=1
해외 공동연구하다 억울한 일 당하지 말자...정부, 해외 연구보안 제도 가이드 발간,https://www.boannews.com/media/view.asp?idx=138056&page=5&kind=2
[IP人] 김완기 청장, “IP, 혁신의 원동력”...스위스 WIPO 총회서 강조,https://www.boannews.com/media/view.asp?idx=138057&page=5&kind=1
F5, 양자 컴퓨팅 위협 대비 양자내성암호 솔루션 출시,https://www.boannews.com/media/view.asp?idx=138054&page=5&kind=3
고려대 정보보호대학원, ‘KU시큐리티 고위 전문가 과정’ 신설...9월 3일 개강,https://www.boannews.com/media/view.asp?idx=138055&page=5&kind=2
보안 업계, 류제명 차관에게 한 첫 주문은?… “선제적 AI 보안으로 글로벌 도약”,https://www.boannews.com/media/view.asp?idx=138053&page=5&kind=1
2025년 포항시 개인정보 보호 실무자 회의 개최,https://www.boannews.com/media/view.asp?idx=138052&page=5&kind=2
소프트캠프, 황성익 영업본부 부사장 영입,https://www.boannews.com/media/view.asp?idx=138051&page=5&kind=3
