Title,Link
인기 높은 오픈소스 인공지능 앱에서 여섯 가지 취약점 발견돼,https://www.boannews.com/media/view.asp?idx=134063&page=4&kind=1
악명 높은 해커 인텔브로커, 노키아 침해했다 주장하며 데이터 공개,https://www.boannews.com/media/view.asp?idx=134062&page=4&kind=1
KISIA, FISCON 2024 부대행사로 정보보호 제품 전시회 개최,https://www.boannews.com/media/view.asp?idx=134059&page=4&kind=3
조달청, 역대 최대 규모 공공조달 수출상담회 개최,https://www.boannews.com/media/view.asp?idx=134061&page=4&kind=2
샌즈랩, AI 기반 차세대 NDR 솔루션 ‘MNX’로 공공시장 본격 공략,https://www.boannews.com/media/view.asp?idx=134058&page=4&kind=3
아이씨티케이-쿠도커뮤니케이션, 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=134056&page=4&kind=3
[기획특집] 국내 보안시장의 해외 영상보안 기업 진출 현황과 선호도 결과,https://www.boannews.com/media/view.asp?idx=133854&page=4&kind=3
[한국정보공학기술사 보안을 論하다-7] 데이터 거래와 보안,https://www.boannews.com/media/view.asp?idx=134043&page=4&kind=6
남아공 드론 산업 현황과 한국 기업의 진출 가능성 진단,https://www.boannews.com/media/view.asp?idx=133957&page=4&kind=4
[카드뉴스] 안전한 접근을 위한 필수 장치, ‘다중인증(MFA)’이란?,https://www.boannews.com/media/view.asp?idx=134041&page=4&kind=5
티피링크, 대규모 시나리오 위한 Omada Pro 와이파이7 AP9778 출시,https://www.boannews.com/media/view.asp?idx=134042&page=4&kind=3
디스코드 봇에 숨겨진 RAT 악성코드... ‘파이실론’ 사례 분석해보니,https://www.boannews.com/media/view.asp?idx=134040&page=4&kind=1
[한국사이버안보학회 칼럼] 미국의 선제적 방어전략에 대한 한국의 준비,https://www.boannews.com/media/view.asp?idx=134025&page=4&kind=6
KISA, 미주개발은행과 중남미 디지털 안전 및 협력 강화,https://www.boannews.com/media/view.asp?idx=134039&page=4&kind=2
