Title,Link
행안부, 디지털네이션스 회의 및 OECD 협력 통해 디지털 선도국 역할 강화,https://www.boannews.com/media/view.asp?idx=134048&page=2&kind=2
문체부, 인공지능 저작권 쟁점에 대한 국민의 생각을 묻다,https://www.boannews.com/media/view.asp?idx=134049&page=2&kind=2
정보기술 선도하는 한·아세안 등 16개국 장애청소년들이 함께 하는 축제의 장,https://www.boannews.com/media/view.asp?idx=134050&page=2&kind=2
국토부, ‘제130차 OGC 국제공간정보표준화 총회’ 개최,https://www.boannews.com/media/view.asp?idx=134051&page=2&kind=2
기업 협업으로 글로벌 6G·저궤도 위성 주도권 확보,https://www.boannews.com/media/view.asp?idx=134052&page=2&kind=3
SKT, ‘AI 인프라 슈퍼 하이웨이’ 구축한다,https://www.boannews.com/media/view.asp?idx=134053&page=2&kind=3
현대건설, 기입주 단지에도 첨단 AI 라이프 선보여,https://www.boannews.com/media/view.asp?idx=134054&page=2&kind=3
중소기업 10곳 중 9곳은 AI 활용 안해... 업종별 우수 사례, 활용 방법 알려야,https://www.boannews.com/media/view.asp?idx=134055&page=2&kind=2
[bnTV] 실적 시즌과 美 대선 변수? 보안주는 상승세,https://www.boannews.com/media/view.asp?idx=134057&page=2&kind=3
[개인정보 보호법 해석 사례-①보호법 정의] 어디까지 개인정보인가?,https://www.boannews.com/media/view.asp?idx=133900&page=2&kind=2
[오늘의 보안 영어] in the throes of,https://www.boannews.com/media/view.asp?idx=134066&page=2&kind=1
인텔브로커, MIT테크놀로지리뷰의 구독자 30만 명 개인정보 유출,https://www.boannews.com/media/view.asp?idx=134065&page=2&kind=1
미국 사법부, 피싱 공격한 나이지리아인에게 26년형 구형,https://www.boannews.com/media/view.asp?idx=134064&page=2&kind=1
인기 높은 오픈소스 인공지능 앱에서 여섯 가지 취약점 발견돼,https://www.boannews.com/media/view.asp?idx=134063&page=3&kind=1
악명 높은 해커 인텔브로커, 노키아 침해했다 주장하며 데이터 공개,https://www.boannews.com/media/view.asp?idx=134062&page=3&kind=1
KISIA, FISCON 2024 부대행사로 정보보호 제품 전시회 개최,https://www.boannews.com/media/view.asp?idx=134059&page=3&kind=3
조달청, 역대 최대 규모 공공조달 수출상담회 개최,https://www.boannews.com/media/view.asp?idx=134061&page=3&kind=2
샌즈랩, AI 기반 차세대 NDR 솔루션 ‘MNX’로 공공시장 본격 공략,https://www.boannews.com/media/view.asp?idx=134058&page=3&kind=3
아이씨티케이-쿠도커뮤니케이션, 총판 계약 체결,https://www.boannews.com/media/view.asp?idx=134056&page=3&kind=3
[기획특집] 국내 보안시장의 해외 영상보안 기업 진출 현황과 선호도 결과,https://www.boannews.com/media/view.asp?idx=133854&page=3&kind=3
