Title,Link
연말시즌, 해커도 성수기... 해커들이 만든 가짜 쇼핑몰 방문 35% 증가,https://www.boannews.com/media/view.asp?idx=134475&page=3&kind=1
현대오토에버 인공지능기술팀, 국제표준 인증 획득,https://www.boannews.com/media/view.asp?idx=134478&page=3&kind=3
연세대, IBM과 함께 양자컴퓨터 ‘IBM 퀀텀 시스템 원’ 국내 최초 공개,https://www.boannews.com/media/view.asp?idx=134479&page=3&kind=3
앤앤에스피 “K-방산 지속 성장 위해 ‘사이버 보안’ 강화 필수”,https://www.boannews.com/media/view.asp?idx=134482&page=3&kind=3
국내 대학 매크로 공격 비율 44%... 비수강신청 기간도 25%,https://www.boannews.com/media/view.asp?idx=134481&page=4&kind=3
데이터브릭스, 금융보안원 CSP 안전성 평가 완료,https://www.boannews.com/media/view.asp?idx=134480&page=4&kind=3
파수, ‘파수 엔터프라이즈 디알엠’ 신버전 출시,https://www.boannews.com/media/view.asp?idx=134477&page=4&kind=3
과기정통부, 2024년 ‘사이버보안 정책 포럼’ 워크숍 개최,https://www.boannews.com/media/view.asp?idx=134467&page=4&kind=2
파주시, 경기도 시군 정보보안 관리실태 평가서 4년 연속 ‘최우수 등급’ 달성,https://www.boannews.com/media/view.asp?idx=134449&page=4&kind=2
하나증권, 업계 최초 AI명함 도입,https://www.boannews.com/media/view.asp?idx=134448&page=4&kind=3
동해시, AI를 통한 적극행정 실현,https://www.boannews.com/media/view.asp?idx=134447&page=4&kind=2
[bnTV] 국내 주식시장, 외국인 거침없는 ‘팔자’에 ‘블랙먼데이’ 공포 재현됐다,https://www.boannews.com/media/view.asp?idx=134466&page=4&kind=3
마이크로소프트 이그나이트 2024 개막 “AI 에이전트 시대 연다”,https://www.boannews.com/media/view.asp?idx=134473&page=4&kind=3
TTA, 제6차 메타버스 표준포럼 합동 교류회 21일 개최,https://www.boannews.com/media/view.asp?idx=134472&page=4&kind=2
헥사곤-프라운호퍼 연구소, 새로운 전기화학 시뮬레이션 솔루션 출시,https://www.boannews.com/media/view.asp?idx=134471&page=4&kind=3
인텔리빅스, 화성시에 전국 최대 AI 영상관제 시스템 완성,https://www.boannews.com/media/view.asp?idx=134470&page=4&kind=2
스틸리언 ‘앱수트 MacroBlock’, GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=134469&page=4&kind=3
[인사] 프루프포인트, JP 유 SAK 총괄 부사장 선임,https://www.boannews.com/media/view.asp?idx=134468&page=4&kind=3
[신간] 스마트도시 통합운영센터! 효율적 운영? 나도 할 수 있다(I can do it) 출간,https://www.boannews.com/media/view.asp?idx=134465&page=4&kind=3
금융보안원, ‘실전형 침해대응 훈련 플랫폼’ 구축... 2025년 정식 오픈,https://www.boannews.com/media/view.asp?idx=134464&page=4&kind=2
개인정보위, 동등성 인정 평가를 위한 국외이전 전문위원회 개최,https://www.boannews.com/media/view.asp?idx=134463&page=4&kind=2
[이슈칼럼] 진화하는 자동차, 그리고 사이버보안의 ‘미래’,https://www.boannews.com/media/view.asp?idx=134439&page=4&kind=5
위드앤아이티, ‘2024 큐샌 파트너스데이’ 성료,https://www.boannews.com/media/view.asp?idx=134462&page=4&kind=3
LG유플러스, ‘듀얼넘버 온앤오프’로 개인정보 보호 및 보이스피싱 예방한다,https://www.boannews.com/media/view.asp?idx=134459&page=4&kind=3
이글루코퍼레이션, 아스트론시큐리티와 전략적 지분 투자 협약 체결,https://www.boannews.com/media/view.asp?idx=134460&page=5&kind=3
넷앤드, 인도네시아 대학생 기업 특강 성료... 글로벌 정보보안 인재 양성 지원,https://www.boannews.com/media/view.asp?idx=134461&page=5&kind=3
[긴급] 레디스 DB 시스템에서 원격 코드 실행 취약점 발견... 소규모 기업 주의,https://www.boannews.com/media/view.asp?idx=134444&page=5&kind=1
K-조달에 반한 UAE 아부다비 정부역량강화부, 공공조달 정책 발전 논의,https://www.boannews.com/media/view.asp?idx=134445&page=5&kind=2
유니온커뮤니티, ‘제4회 스마트금융 대상’ 금융보안원장상 수상,https://www.boannews.com/media/view.asp?idx=134446&page=5&kind=3
과기정통부, 제1회 자율주행 인공지능 챌린지 시상식 개최,https://www.boannews.com/media/view.asp?idx=134443&page=5&kind=2
경찰청, 딥페이크 등 디지털 성범죄 대응 위한 ‘글로벌 정책 대화’ 개최,https://www.boannews.com/media/view.asp?idx=134442&page=5&kind=2
제140차 CISO포럼, 보안사고 이후 거버넌스 변화 및 부서별 보안교육 노하우 공유,https://www.boannews.com/media/view.asp?idx=134431&page=5&kind=3
쿼드마이너, 구 버전 개발 테스트용 소스코드 유출...  “기존 고객 및 현재 버전에 영향 없어”,https://www.boannews.com/media/view.asp?idx=134386&page=5&kind=1
경찰청, 19개 국가·국제기구 참여 ‘제2회 사기방지 국제 콘퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134441&page=5&kind=2
[단독] 랜섬웨어 조직 RA그룹, SK가스의 직원 개인정보 및 부서별 데이터 등 700GB 탈취 주장,https://www.boannews.com/media/view.asp?idx=134391&page=5&kind=1
이스트시큐리티, 캐릭터 IP 신규사업 ‘이스트로바’ 본격 시동,https://www.boannews.com/media/view.asp?idx=134440&page=5&kind=1
아카마이, 클라우드 관여 없이 바로 실행 가능한 애플리케이션 플랫폼 출시,https://www.boannews.com/media/view.asp?idx=134438&page=5&kind=3
씨큐비스타 “중소기업, 전체 사이버 공격의 83% 차지... 보안 위험 수위 한계 넘어”,https://www.boannews.com/media/view.asp?idx=134437&page=5&kind=3
지란지교에스앤씨, 시스템 취약점 자동 점검 솔루션 VADA v4.0 메이저 업그레이드,https://www.boannews.com/media/view.asp?idx=134430&page=5&kind=3
S2W, ‘시큐리티 가드레일’ 적용한 기업용 생성형 AI 플랫폼 제공,https://www.boannews.com/media/view.asp?idx=134429&page=5&kind=3
KISA, ‘그놈 목소리’를 학습한 AI로 보이스피싱 예방!,https://www.boannews.com/media/view.asp?idx=134428&page=5&kind=2
[한국의 사이버 안보전략 토론문-4] 언론이 바라본 한국 사이버안보 현황과 과제,https://www.boannews.com/media/view.asp?idx=134403&page=5&kind=6
[오늘의 보안 영어] against the backdrop,https://www.boannews.com/media/view.asp?idx=134436&page=5&kind=1
페이스북의 멀버타이징 캠페인, 비트워든 최신판 위장해 사람들 속여,https://www.boannews.com/media/view.asp?idx=134435&page=5&kind=1
