Title,Link
영국 옥스퍼드대, 사이버보안 국내 최고 수준 인력 양성 함께한다,https://www.boannews.com/media/view.asp?idx=134126&page=3&kind=2
범정부 디지털 행정서비스 안정성 도약 위해 정부기관 간 소통·협력의 장 마련,https://www.boannews.com/media/view.asp?idx=134127&page=3&kind=2
과기정통부, 온라인 플랫폼 사와 상생협력 강화 방안 논의,https://www.boannews.com/media/view.asp?idx=134128&page=3&kind=2
인공지능 시대, 문화 향유의 새로운 도약 논하다,https://www.boannews.com/media/view.asp?idx=134129&page=3&kind=2
기획재정부, ‘제7회 디지털 이코노미 포럼’ 개최,https://www.boannews.com/media/view.asp?idx=134130&page=3&kind=2
KT, 데이터브릭스와 데이터·AI 혁신 가속화 위해 협력,https://www.boannews.com/media/view.asp?idx=134131&page=3&kind=3
SKT, 3대 AI 사업 본격 수익화로 글로벌 AI 컴퍼니 전환 앞당긴다,https://www.boannews.com/media/view.asp?idx=134132&page=3&kind=3
알라후아크바르 랜섬웨어, 랜섬웨어 감염시켜 놓고 복구 비활성화까지,https://www.boannews.com/media/view.asp?idx=134136&page=3&kind=1
지란지교데이터, SWITCH 2024 서 해외 판로 확대 나섰다,https://www.boannews.com/media/view.asp?idx=134144&page=3&kind=3
안랩 V3 모바일 시큐리티, 2024년 9월 ‘AV-TEST’ 만점 기록하며 68회째 인증 획득,https://www.boannews.com/media/view.asp?idx=134143&page=4&kind=3
한화비전, 성남시 저소득 아동과 온정 가득한 ‘캠크닉’ 성료,https://www.boannews.com/media/view.asp?idx=134139&page=4&kind=3
금융정보보호 컨퍼런스 ‘FISCON 2024’ 성황리 개최,https://www.boannews.com/media/view.asp?idx=134140&page=4&kind=2
디씨피, 디에스앤지와 데이터센터 사업 강화 위한 MOU 체결,https://www.boannews.com/media/view.asp?idx=134135&page=4&kind=3
과기정통부 강도현 제2차관, 정보보호 산업계와 만나 현장의 목소리 청취,https://www.boannews.com/media/view.asp?idx=134138&page=4&kind=3
페스카로, Auto-ISAC에서 미래 전략 제시... 내년 출시 예정 ‘CSMS 포털 플랫폼’도 선공개,https://www.boannews.com/media/view.asp?idx=134142&page=4&kind=3
[기획특집] 지능형 CCTV 등 한강교량 자살위기자 대응현황 집중진단,https://www.boannews.com/media/view.asp?idx=133951&page=4&kind=2
2024년도 한국융합보안학회 추계학술대회 및 워크숍 7일 개최,https://www.boannews.com/media/view.asp?idx=134120&page=4&kind=2
동훈아이텍, ‘CyberArk Partner Day’ 세미나 성료,https://www.boannews.com/media/view.asp?idx=134118&page=4&kind=3
지란지교소프트, AWS 인더스트리 위크 2024에서 ‘오피스넥스트’ 선보여,https://www.boannews.com/media/view.asp?idx=134117&page=4&kind=3
경찰, ‘비트코인 채굴기 임대 투자’ 빙자한 사기조직 80명 검거,https://www.boannews.com/media/view.asp?idx=134116&page=4&kind=1
