Title,Link
친러 성향 해커 ‘서버 킬러스’, 서울·인천 등 국내 CCTV 100대 이상 해킹 주장,https://www.boannews.com/media/view.asp?idx=133977&page=4&kind=1
미디어알파, 뉴스통 및 증권통에 일 평균 200여건 뉴스콘텐츠 공급,https://www.boannews.com/media/view.asp?idx=133981&page=5&kind=3
조달청, 2024년 제3회 우수조달물품 지정증서 수여식 개최,https://www.boannews.com/media/view.asp?idx=133979&page=5&kind=2
2024년 가을, 정보보안 전문가 채용... 대기업부터 패션플랫폼까지 총망라,https://www.boannews.com/media/view.asp?idx=133933&page=5&kind=3
[정보세계정치학회 칼럼] 지능화 전장 시대의 국방 데이터 관리체계 구축방안,https://www.boannews.com/media/view.asp?idx=133952&page=5&kind=6
[인터뷰] 한화비전 이호웅 AI 연구소 책임연구원... 세계 3대 AI 학회에 논문 채택,https://www.boannews.com/media/view.asp?idx=133849&page=5&kind=5
워터 마카라 스피어 피싱 메일, ‘개인 소득세’ 문서로 위장해 전송,https://www.boannews.com/media/view.asp?idx=133937&page=5&kind=1
한국남동발전, 경제성·보안성 담보된 생성형 AI 첫 선보여,https://www.boannews.com/media/view.asp?idx=133946&page=5&kind=2
용인시 풍덕천2동, 자율주행 순찰·웨어러블 로봇 이용한 행정서비스 제공,https://www.boannews.com/media/view.asp?idx=133945&page=5&kind=2
한국전력기술, 설계협력사 보안정책 강화 워크숍 개최,https://www.boannews.com/media/view.asp?idx=133944&page=5&kind=2
삼성전자, 미국 국립표준기술연구소 암호 모듈 보안 인증 획득... 안전성 입증,https://www.boannews.com/media/view.asp?idx=133943&page=5&kind=3
K-AI 얼라이언스, SK AI 서밋서 글로벌 확산 모색한다,https://www.boannews.com/media/view.asp?idx=133942&page=5&kind=3
해수부, 부산에서 정부 합동 선박 보안 세미나 개최,https://www.boannews.com/media/view.asp?idx=133941&page=5&kind=2
경기도, AI 반도체 보고서 발간... 미래 산업 주도권 확보 위한 방향 제시,https://www.boannews.com/media/view.asp?idx=133947&page=5&kind=2
교육부, 첨단산업 분야 고졸 인재 육성 위한 마이스터고 2개교 신규 지정,https://www.boannews.com/media/view.asp?idx=133940&page=5&kind=2
과기정통부, ‘2024 한-중남미 디지털 장관회의’ 개최,https://www.boannews.com/media/view.asp?idx=133939&page=5&kind=2
강도형 해양수산부 장관, ‘Sea AI 포럼 창단식 및 기념 심포지엄’ 참석,https://www.boannews.com/media/view.asp?idx=133938&page=5&kind=2
수원시, ‘생성형 AI 고립위기 청(소)년 사전예방시스템’ 구축한다,https://www.boannews.com/media/view.asp?idx=133948&page=5&kind=2
고양시, 대덕 한강공원 내 보안등·CCTV 조성 완료,https://www.boannews.com/media/view.asp?idx=133949&page=5&kind=2
이스트시큐리티-시큐어시스템즈, 차세대 통합보안 플랫폼 구축 위한 R&D 협약 체결,https://www.boannews.com/media/view.asp?idx=133974&page=5&kind=3
‘양자과학기술 및 양자산업 육성에 관한 법’ 11월 1일부터 시행된다,https://www.boannews.com/media/view.asp?idx=133975&page=5&kind=2
