Title,Link
강도형 해수부 장관, 제주항 경비보안 현장 점검,https://www.boannews.com/media/view.asp?idx=134625&page=3&kind=2
KT, 1.6테라 속도 전송망 시범 적용 성공,https://www.boannews.com/media/view.asp?idx=134626&page=3&kind=3
데이터 개방-연구-정책 환류의 선순환 위해 정부와 학계가 머리를 맞댄다,https://www.boannews.com/media/view.asp?idx=134620&page=3&kind=2
AI로 그려본 미래의 해양수산, 상상과 현실의 접점을 찾아보세요,https://www.boannews.com/media/view.asp?idx=134619&page=3&kind=2
LG유플러스, KISTI와 평촌 IDC에 국가 연구 데이터 허브 만든다,https://www.boannews.com/media/view.asp?idx=134627&page=4&kind=2
한국 스마트팜, 실내 수직농장 중심으로 싱가포르 시장 진출 노력,https://www.boannews.com/media/view.asp?idx=134618&page=4&kind=2
NIPA, 한-베트남 디지털 포럼 성황리 개최... AI 시대를 향한 동반자 관계 강화,https://www.boannews.com/media/view.asp?idx=134628&page=4&kind=2
송파구, 올해의 SNS 블로그 ‘대상’ 수상... 전국 최고 소통왕 등극,https://www.boannews.com/media/view.asp?idx=134629&page=4&kind=2
서울디지털재단-새만금개발공사, 업무협약 체결,https://www.boannews.com/media/view.asp?idx=134630&page=4&kind=2
산업부-국정원, 제14회 산업기술보호의 날 및 2024 산업보안 컨퍼런스 개최,https://www.boannews.com/media/view.asp?idx=134644&page=4&kind=2
지란지교데이터, AI 정보유출 이상행위 탐지 솔루션 ‘피씨필터 UEBA’ 출시,https://www.boannews.com/media/view.asp?idx=134643&page=4&kind=3
S2W, 북·중·러 배후 해킹조직 프로파일링한 4차 금융 보안 보고서 발간,https://www.boannews.com/media/view.asp?idx=134642&page=4&kind=3
안랩, 서스틴베스트 ESG 평가에서 4년 연속 최고 등급 ‘AA’ 획득,https://www.boannews.com/media/view.asp?idx=134635&page=4&kind=3
과기정통부, ‘AI신뢰·안전성 컨퍼런스’ 개최... 책임있는 AI 위한 민·관 성과와 이행현황 공유,https://www.boannews.com/media/view.asp?idx=134634&page=4&kind=2
자이젤 방화벽 제품에서 발견된 취약점, 랜섬웨어 공격에 악용돼,https://www.boannews.com/media/view.asp?idx=134637&page=4&kind=1
스피어AX, DQ 최고 등급으로 산불 연기 감지 솔루션 신뢰성 추가 검증,https://www.boannews.com/media/view.asp?idx=134632&page=4&kind=3
[포토뉴스] 국내 최대 물리보안 기업 한화비전, 저탄소 인증,https://www.boannews.com/media/view.asp?idx=134631&page=4&kind=3
KISIA 조영철 회장, “미래 먹거리 첨단 산업, 사이버보안은 필수”,https://www.boannews.com/media/view.asp?idx=134641&page=4&kind=2
[오늘의 보안 영어] at odds with,https://www.boannews.com/media/view.asp?idx=134640&page=4&kind=1
어베스트의 오래된 드라이버 악용하는 공격자들, 보안 제품 무력화시켜,https://www.boannews.com/media/view.asp?idx=134639&page=4&kind=1
PyPI에서 발견된 악성 라이브러리, 비밀 키 유출시켜,https://www.boannews.com/media/view.asp?idx=134638&page=4&kind=4
스타벅스, 서드파티 벤더의 랜섬웨어 피해로 직원 급여 계산 종이로 해,https://www.boannews.com/media/view.asp?idx=134636&page=4&kind=1
정보보호산업 발전 전략 STEP 3가지는?,https://www.boannews.com/media/view.asp?idx=134633&page=4&kind=6
로봇재활사업·AI 영상관제 시스템... 우수한 스마트도시·서비스로 ‘인증’,https://www.boannews.com/media/view.asp?idx=134617&page=4&kind=2
인공지능(AI) 보안 산업, 미래 경쟁력 좌우한다,https://www.boannews.com/media/view.asp?idx=134616&page=5&kind=3
농진청-농촌경제연구원, 애그테크 산업 활성화 방안 논의,https://www.boannews.com/media/view.asp?idx=134615&page=5&kind=2
내일은 우리가 지역 대표 딥테크 유니콘,https://www.boannews.com/media/view.asp?idx=134614&page=5&kind=2
가장 위험한 소프트웨어 보안 문제는 무엇일까? 25개를 꼽았더니,https://www.boannews.com/media/view.asp?idx=134613&page=5&kind=1
전국 지방자치단체 정보보호협의회, 제1회 정기총회 개최,https://www.boannews.com/media/view.asp?idx=134610&page=5&kind=2
국민 2명 중 1명이 사용하는 토스, “보안 이렇게 했다”,https://www.boannews.com/media/view.asp?idx=134611&page=5&kind=3
AI 기술 도입으로 급성장하는 사우디 사이버보안 시장,https://www.boannews.com/media/view.asp?idx=134609&page=5&kind=3
넷위트니스, 전 세계에서 가장 검증된 그리고 가장 선진화된 NDR 솔루션 제공,https://www.boannews.com/media/view.asp?idx=134608&page=5&kind=3
에이아이스페라, 120억원 후속 투자 유치... AI 기능 확대로 글로벌 공략 박차,https://www.boannews.com/media/view.asp?idx=134607&page=5&kind=3
카스퍼스키, 기업 맞춤형 사이버 위협 분석 서비스 출시,https://www.boannews.com/media/view.asp?idx=134604&page=5&kind=3
‘2024 전자문서 산업인의 날 컨퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134592&page=5&kind=2
[오늘의 보안 영어] (only) a matter of time,https://www.boannews.com/media/view.asp?idx=134606&page=5&kind=1
국제적인 도박 및 복권 기업 IGT, 사이버 공격 받아 일부 시스템 마비,https://www.boannews.com/media/view.asp?idx=134605&page=5&kind=1
구글, 중국에 친화적인 여론 전파하려는 네트워크 적발,https://www.boannews.com/media/view.asp?idx=134603&page=5&kind=1
메타, 돼지 도살 공격에 활용된 계정 200만 개 삭제,https://www.boannews.com/media/view.asp?idx=134602&page=5&kind=1
MS, 다크웹에서 인기 높은 피싱 서비스 온넥스 차단하는 데 성공,https://www.boannews.com/media/view.asp?idx=134601&page=5&kind=1
시큐레터, 고위험 사회공학적 공격 방어하는 AI 기반 보안 시스템 개발 착수,https://www.boannews.com/media/view.asp?idx=134599&page=5&kind=3
사이냅소프트, 소상공인 위한 주문서 특화 서비스·무료 웹 도구 출시,https://www.boannews.com/media/view.asp?idx=134598&page=5&kind=3
팔로알토 네트웍스, “북한 지원받는 해커 그룹과 플레이 랜섬웨어 그룹 협력”,https://www.boannews.com/media/view.asp?idx=134597&page=5&kind=3
KISIA, ‘팀 ZeroTrust, KOZETA에서 제시하는 제로트러스트 구축전략 컨퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134595&page=5&kind=2
