Title,Link
2024년 최고의 정부혁신 사례는 무엇?,https://www.boannews.com/media/view.asp?idx=134424&page=4&kind=2
식약처, 의료기기 디지털 평가기술 개발 지원,https://www.boannews.com/media/view.asp?idx=134423&page=4&kind=2
KT, AI로 제작한 V컬러링 영상 도입,https://www.boannews.com/media/view.asp?idx=134422&page=4&kind=3
SKT AI 고객센터 오픈, 상담 업무 새 지평 연다,https://www.boannews.com/media/view.asp?idx=134421&page=4&kind=3
LG유플러스, 차세대 ‘거울’ 기술로 6G 시대 준비 가속화,https://www.boannews.com/media/view.asp?idx=134420&page=4&kind=3
삼성전자, 차세대 반도체 R&D 단지 설비 반입식 개최,https://www.boannews.com/media/view.asp?idx=134419&page=4&kind=3
TTA, 웹툰 보안 파일 포맷 및 라이선스 표준화 추진,https://www.boannews.com/media/view.asp?idx=134418&page=4&kind=2
KCA, 2024 서울행정학회 추계학술대회에서 AI 기반 디지털 행정서비스 사례 발표,https://www.boannews.com/media/view.asp?idx=134417&page=4&kind=2
KAIST, 2025년 KAIST-MIT 양자 정보 겨울학교 개최,https://www.boannews.com/media/view.asp?idx=134416&page=4&kind=2
한전, 사이버보안 합동훈련 개최로 에너지 분야 정보보안 협력체계 강화,https://www.boannews.com/media/view.asp?idx=134415&page=4&kind=2
표준연, ‘K-퀀텀국제협력본부’ 공식 지정,https://www.boannews.com/media/view.asp?idx=134414&page=4&kind=2
한수원 고리원자력본부, ‘찾아가는 정보보안 서비스’ 시행,https://www.boannews.com/media/view.asp?idx=134413&page=4&kind=2
수원시, AI 민원 안내 로봇 시범 운영... 시청 본관, 일월 수목원 배치,https://www.boannews.com/media/view.asp?idx=134412&page=4&kind=2
보령시, CCTV 설치 사업으로 농·어촌부터 해안까지 시민 안전 강화,https://www.boannews.com/media/view.asp?idx=134411&page=4&kind=2
잇따르는 글로벌 공급망 공격... 보안 위협 사전 식별 위한 CTI 중요성 커져,https://www.boannews.com/media/view.asp?idx=134410&page=4&kind=3
지코스모, 카시오 시스템 전산 장애로 일부 업무 중단,https://www.boannews.com/media/view.asp?idx=134409&page=5&kind=1
대학병원·시청 등 공공기관 관리자 계정정보 줄줄이 해킹... 계정 보안관리 ‘비상’,https://www.boannews.com/media/view.asp?idx=134401&page=5&kind=1
개인정보위, 마이데이터 선도서비스 의료 3개, 통신 1개, 자율 1개 등 선정,https://www.boannews.com/media/view.asp?idx=134407&page=5&kind=2
에스엔에이, 고려대 의료원과 함께 한 메디컬 AI 경진대회 성료,https://www.boannews.com/media/view.asp?idx=134406&page=5&kind=3
