Title,Link
산불 피해 소실 목재, 친환경 제품으로 부활..대한민국사회공헌재단, 캠페인 개시,https://www.boannews.com/media/view.asp?idx=136667&page=5&kind=1
세이퍼존 DLP올인원, 국내 최초 맥OS 지원,https://www.boannews.com/media/view.asp?idx=136666&page=5&kind=1
나델라 MS CEO 서울 나들이, AI협업 한국 파트너 누구?,https://www.boannews.com/media/view.asp?idx=136665&page=5&kind=3
[bnTV] 美 관세 이슈 ‘잠잠’하자, 外人 ‘사자’... 반도체株 회복세,https://www.boannews.com/media/view.asp?idx=136663&page=5&kind=3
멀티 플랫폼 앱 개발 도구 악용한 안드로이드 말웨어 공격 포착,https://www.boannews.com/media/view.asp?idx=136664&page=5&kind=1
벨로크, eGISEC 2025 참가해 AI·딥러닝 기반 솔루션 선보여,https://www.boannews.com/media/view.asp?idx=136662&page=5&kind=3
[카드뉴스] SECON & eGISEC 2025 성황리 폐막!,https://www.boannews.com/media/view.asp?idx=136660&page=5&kind=3
韓, EU특허 출원 2년 연속 톱5...‘배터리·AI’, 쌍끌이 견인,https://www.boannews.com/media/view.asp?idx=136661&page=5&kind=1
나델라 MS CEO, "모든 AI 플랫폼 공통 원칙은 신뢰",https://www.boannews.com/media/view.asp?idx=136658&page=5&kind=3
지재위, 지식재산 보호정책 협의회 열어..부처별 협력방안 논의,https://www.boannews.com/media/view.asp?idx=136659&page=5&kind=1
최정예 ‘보안전사’ 200人 탄생...차세대 보안리더(BoB) 인증,https://www.boannews.com/media/view.asp?idx=136657&page=5&kind=1
핀텔, 美 ISC WEST 참가..스마트시티 솔루션 등 선뵈,https://www.boannews.com/media/view.asp?idx=136654&page=5&kind=3
라온시큐어, 쓰리에이로직스와 디지털제품여권 분야 협력..MOU 체결,https://www.boannews.com/media/view.asp?idx=136656&page=5&kind=3
