Title,Link
[배종찬의 보안 빅데이터] 중국산 ‘로봇 청소기’ 정보 유출, 과연 사실일까,https://www.boannews.com/media/view.asp?idx=136260&page=4&kind=1
해외사업자, 韓 법인에 ‘국내대리인’ 지정해야..개보위, 法 개정,https://www.boannews.com/media/view.asp?idx=136259&page=4&kind=2
조용현 싸이터 대표 “해양사이버보안, 올해부터 본격 개화”,https://www.boannews.com/media/view.asp?idx=136251&page=4&kind=3
ESG서울포럼 “서울, 지속 가능한 혁신도시로”,https://www.boannews.com/media/view.asp?idx=136256&page=4&kind=3
센스톤-앤앤에스피, OT 보안 인증 고도화 맞손,https://www.boannews.com/media/view.asp?idx=136248&page=4&kind=3
금보원, 제로트러스트 논문 ‘SCIE 국제 저널’ 채택,https://www.boannews.com/media/view.asp?idx=136255&page=5&kind=2
2025년 제1회 국가공인 영상정보관리사 자격시험 시행..원서접수 이달말까지,https://www.boannews.com/media/view.asp?idx=136246&page=5&kind=3
SKT, MWC25서 “AI활용..사이버 금융범죄 피해 줄일 것”,https://www.boannews.com/media/view.asp?idx=136247&page=5&kind=1
샌즈랩, 파트너사에 유통 일임..R&D 집중 포석,https://www.boannews.com/media/view.asp?idx=136252&page=5&kind=3
국회, AI전환 연대회의 구성..AI미래 준비,https://www.boannews.com/media/view.asp?idx=136253&page=5&kind=3
모니터랩, ‘데이터바우처 지원사업’ 공급기업 선정,https://www.boannews.com/media/view.asp?idx=136254&page=5&kind=3
랜섬웨어 조직 내부정보 유출..불평·험담 가득,https://www.boannews.com/media/view.asp?idx=136244&page=5&kind=1
[월드시큐 황.당.사] MS 365 노리는 거대 봇넷 外,https://www.boannews.com/media/view.asp?idx=136249&page=5&kind=1
[오늘의 보안 영어] raise the bar,https://www.boannews.com/media/view.asp?idx=136250&page=5&kind=4
SK하이닉스, 직원 개인정보 처리..판례·가이드라인상 위법,https://www.boannews.com/media/view.asp?idx=136245&page=5&kind=1
유출 피해 中 보안업체, 알고보니 해킹 앞잡이,https://www.boannews.com/media/view.asp?idx=136242&page=5&kind=1
AI 교육서 창업까지..구로 교육기술센터 개소,https://www.boannews.com/media/view.asp?idx=136243&page=5&kind=2
금보원, 핀테크 대상 보안 점검한다,https://www.boannews.com/media/view.asp?idx=136236&page=5&kind=2
엑스게이트-건양대, 국방인재 양성 맞손,https://www.boannews.com/media/view.asp?idx=136241&page=5&kind=3
ETRI, 스마트시티·시티버스 ‘국제표준화’ 주도,https://www.boannews.com/media/view.asp?idx=136237&page=5&kind=1
[월드시큐 황.당.사] MS 파워페이지서 발견된 취약점 外,https://www.boannews.com/media/view.asp?idx=136238&page=5&kind=1
제네텍, 복합 워크로드 어플라이언스 ‘Cloudlink 210’ 출시,https://www.boannews.com/media/view.asp?idx=136239&page=5&kind=3
“30원만 주세요. 다 찾아 드려요.”..KAIST, AI ‘개인정보 악용’ 가능성 입증,https://www.boannews.com/media/view.asp?idx=136240&page=5&kind=1
노르마, 계산 필요없는 ‘양자 방법론’ 개발,https://www.boannews.com/media/view.asp?idx=136235&page=5&kind=3
LG CNS, 금융권 특화 AI평가툴 공개,https://www.boannews.com/media/view.asp?idx=136234&page=5&kind=3
