Title,Link
[사람과 보안] AI 에이전트가 지켜주는 보안의 미래는?,https://www.boannews.com/media/view.asp?idx=136485&page=1&kind=1
[여기는 킨텍스] AI 카메라와 영상분석에도 흘러든 인공지능의 일상화(AI Everywhere),https://www.boannews.com/media/view.asp?idx=136413&page=2&kind=3
내 목소리도? AI 음성합성 서비스, 동의 절차 허술,https://www.boannews.com/media/view.asp?idx=136431&page=2&kind=1
조달청, 정부 물품관리 평가 실효성·변별력 높여,https://www.boannews.com/media/view.asp?idx=136433&page=3&kind=2
파이오링크, 인성디지털-현성솔루션과 총판 계약,https://www.boannews.com/media/view.asp?idx=136432&page=3&kind=1
KAIT, 소프트웨어 ‘국제공인시험기관’ 인정,https://www.boannews.com/media/view.asp?idx=136430&page=3&kind=3
취업사이트 ‘인크루트’ 개인정보 유출..개인정보위, 조사 착수,https://www.boannews.com/media/view.asp?idx=136422&page=3&kind=1
중국산 블루투스 칩, 비공개 명령어 몰래 탑재..전세계 IoT기기 백도어 공격 우려,https://www.boannews.com/media/view.asp?idx=136428&page=3&kind=1
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136429&page=3&kind=2
개인정보전문가협회, ISMS-P 인증심사원 자격시험 대비 ONE-STOP 특강 운영,https://www.boannews.com/media/view.asp?idx=136423&page=3&kind=3
공공·기업의 ESG 경영 확대, ‘저탄소 인증’ 관심도 높아져,https://www.boannews.com/media/view.asp?idx=136421&page=3&kind=3
FLIR, 산업용 음향 이미징 카메라 ‘Si2x’ 시리즈 선뵈,https://www.boannews.com/media/view.asp?idx=136419&page=3&kind=3
[2025 데이터 백업 및 복구 솔루션] 데이터 보호 시장, 성장 발판 모두 모였다,https://www.boannews.com/media/view.asp?idx=136418&page=3&kind=3
카스퍼스키, SIEM 솔루션에 AI와 시각화 기능 탑재,https://www.boannews.com/media/view.asp?idx=136417&page=3&kind=3
[SECON & eGISEC 2025] ⑥제6차 개인정보보호 전문강사포럼,https://www.boannews.com/media/view.asp?idx=136374&page=3&kind=1
LGU+와 AWS, ‘AX 얼라이언스’ 공동 추진,https://www.boannews.com/media/view.asp?idx=136415&page=3&kind=3
[인사] 더퍼블릭,https://www.boannews.com/media/view.asp?idx=136416&page=3&kind=3
[여기는 킨텍스] SECON & eGISEC 2025, 한자리에서 만나는 2025년 보안 신제품과 트렌드,https://www.boannews.com/media/view.asp?idx=136399&page=3&kind=3
[SECON & eGISEC 2025] ⑤2025 CCTV 통합관제 콘퍼런스,https://www.boannews.com/media/view.asp?idx=136373&page=3&kind=1
北 소프트웨어 공급망 공격 급증..“관련 주의 당부”,https://www.boannews.com/media/view.asp?idx=136414&page=3&kind=1
KITRI, 화이트햇 스쿨 제3기 닻 올렸다,https://www.boannews.com/media/view.asp?idx=136412&page=3&kind=1
사이버안전센터에 여가부 합류..“통합 관제로 예산 83% 절감”,https://www.boannews.com/media/view.asp?idx=136411&page=3&kind=2
과기정통부-개인정보위, ISMS-P 교육 진행,https://www.boannews.com/media/view.asp?idx=136410&page=3&kind=2
[배종찬의 보안 빅데이터] 트럼프 관세 장벽보다 먼저 챙겨야 할 ‘보안’ 장벽,https://www.boannews.com/media/view.asp?idx=136409&page=4&kind=4
[미리보는 SECON 2025] 아이디스,https://www.boannews.com/media/view.asp?idx=136408&page=4&kind=3
[미리보는 eGISEC 2025] 에스지에이솔루션즈,https://www.boannews.com/media/view.asp?idx=136407&page=4&kind=3
[미리보는 eGISEC 2025] 인스피언,https://www.boannews.com/media/view.asp?idx=136406&page=4&kind=3
[미리보는 eGISEC 2025] 아이티센피앤에스,https://www.boannews.com/media/view.asp?idx=136405&page=4&kind=3
[미리보는 eGISEC 2025] 케이엑스넥스지,https://www.boannews.com/media/view.asp?idx=136404&page=4&kind=3
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136403&page=4&kind=2
패스워드리스, 차세대 ‘신원인증’ 수단으로 부상..TTA 세미나,https://www.boannews.com/media/view.asp?idx=136400&page=4&kind=3
타포, 매터 지원 스마트 와이파이 멀티탭 ‘Tapo P300M’ 출시,https://www.boannews.com/media/view.asp?idx=136402&page=4&kind=3
류광준 과기정통부 본부장, “AI 연구개발, 지원 확대” 약속,https://www.boannews.com/media/view.asp?idx=136397&page=4&kind=1
[SECON & eGISEC 2025] ④2025 산업보안 트렌드,https://www.boannews.com/media/view.asp?idx=136365&page=4&kind=1
[인사] 한국전자통신연구원(ETRI),https://www.boannews.com/media/view.asp?idx=136395&page=4&kind=1
SK쉴더스-KB데이타시스템, 금융 보안 ‘맞손’,https://www.boannews.com/media/view.asp?idx=136394&page=4&kind=3
[미리보는 eGISEC 2025] 에브리존,https://www.boannews.com/media/view.asp?idx=136393&page=4&kind=3
[미리보는 eGISEC 2025] 스콥정보통신,https://www.boannews.com/media/view.asp?idx=136392&page=4&kind=3
[미리보는 eGISEC 2025] 센티넬원,https://www.boannews.com/media/view.asp?idx=136391&page=4&kind=3
[미리보는 eGISEC 2025] 새빛엠엔에스,https://www.boannews.com/media/view.asp?idx=136390&page=4&kind=3
[미리보는 eGISEC 2025] 모니터랩,https://www.boannews.com/media/view.asp?idx=136389&page=4&kind=3
아마노코리아, KLPGA 프로골퍼 최은우·김리안 후원 계약 체결,https://www.boannews.com/media/view.asp?idx=136371&page=4&kind=3
LGU+, ‘사람 중심 AI’ 제시..고객신뢰 시작점,https://www.boannews.com/media/view.asp?idx=136379&page=4&kind=3
[미리보는 eGISEC 2025] 휴네시온,https://www.boannews.com/media/view.asp?idx=136388&page=5&kind=3
KIAST, 신임 원장에 황호원 항공대 교수 임명,https://www.boannews.com/media/view.asp?idx=136386&page=5&kind=2
[사람과 보안] AI라는 도구를 활용하는 ‘호모 파베르’의 자세,https://www.boannews.com/media/view.asp?idx=136387&page=5&kind=1
블랙야크, 약 34만2253명 개인정보 유출,https://www.boannews.com/media/view.asp?idx=136385&page=5&kind=1
[SECON & eGISEC 2025] ③2025년 정보보호 R&D 기술이전 설명회,https://www.boannews.com/media/view.asp?idx=136363&page=5&kind=1
2025년 3월 물리·정보보안 기업 어떤 인재 찾고 있나?,https://www.boannews.com/media/view.asp?idx=136372&page=5&kind=3
한국정보통신자격협회, 국가공인 영상정보관리사 공로자 공로패 수여,https://www.boannews.com/media/view.asp?idx=136370&page=5&kind=3
[유경동의 IP전략] 火車에 대처하는 특허의 자세,https://www.boannews.com/media/view.asp?idx=136360&page=5&kind=1
[bnTV] 관세 전쟁 포화, 기술주 위기로.. 빅테크·AI ‘충격’,https://www.boannews.com/media/view.asp?idx=136367&page=5&kind=3
씨게이트, 초소형 SSD 출시..엄지손가락 크기에 2TB,https://www.boannews.com/media/view.asp?idx=136366&page=5&kind=1
성신여대, ‘사이버 女전사’ 산실,https://www.boannews.com/media/view.asp?idx=136359&page=5&kind=1
아카마이, 기업용 ‘매니지드 컨테이너 서비스’ 출시,https://www.boannews.com/media/view.asp?idx=136364&page=5&kind=3
[SECON & eGISEC 2025] ②디지털 행정서비스 장애 진단·복구 세미나,https://www.boannews.com/media/view.asp?idx=136362&page=5&kind=1
[카드뉴스] 2025년 보안 혁신! 하이브리드 보안 솔루션 TOP 5,https://www.boannews.com/media/view.asp?idx=136358&page=5&kind=1
박현우 라온시큐어 보안개발본부장 “PQC 대전환 준비하라”..기존 암호체계 용도폐기,https://www.boannews.com/media/view.asp?idx=136346&page=5&kind=1
산업기술보호협회, 보안설비구축 지원사업 추진,https://www.boannews.com/media/view.asp?idx=136349&page=5&kind=2
도구공간, 로봇제어 앱 ‘플래너 V4’ 출시,https://www.boannews.com/media/view.asp?idx=136350&page=5&kind=3
카카오 고객센터 사칭 피싱 사이트 급증 ‘주의’,https://www.boannews.com/media/view.asp?idx=136351&page=5&kind=1
[미리보는 eGISEC 2025] 두루안,https://www.boannews.com/media/view.asp?idx=136356&page=5&kind=3
[미리보는 eGISEC 2025] 78리서치랩,https://www.boannews.com/media/view.asp?idx=136355&page=5&kind=3
