Title,Link
[여기는 킨텍스] 벨로크, 공공과 금융권 인정받은 ‘통합 방화벽’ 솔루션 주목,https://www.boannews.com/media/view.asp?idx=136591&page=5&kind=3
[여기는 킨텍스] 비알인포텍, ESG와 저탄소 인증 강조한 보안 제품 소개,https://www.boannews.com/media/view.asp?idx=136590&page=5&kind=3
[여기는 킨텍스] ETRI, 드론과 AI, IoT 통신 보안 기술 선봬,https://www.boannews.com/media/view.asp?idx=136589&page=5&kind=3
[여기는 킨텍스] 웨어밸리, DB·System 접근제어 및 계정관리 솔루션 ‘샤크라맥스’ 소개,https://www.boannews.com/media/view.asp?idx=136588&page=5&kind=3
[여기는 킨텍스] 투씨에스지, One Agent 통합 PC보안 솔루션 ‘BSOne’ 전시,https://www.boannews.com/media/view.asp?idx=136587&page=5&kind=3
[여기는 킨텍스] D&S테크놀로지, 대테러 시설방호 현대화시스템 선봬,https://www.boannews.com/media/view.asp?idx=136586&page=5&kind=3
[여기는 킨텍스] 휴네시온, ‘아이원넷’으로 신 국가망보안체계 시장 노린다,https://www.boannews.com/media/view.asp?idx=136585&page=5&kind=3
[여기는 킨텍스] 폭탄 보다 무서운 배터리..항공기 화재 이어 ‘테러’ 위험도,https://www.boannews.com/media/view.asp?idx=136584&page=5&kind=2
[여기는 킨텍스] 카티스, 외곽 보안 장비 ‘AxiCos’-‘IHS Alpha’ 등 주목,https://www.boannews.com/media/view.asp?idx=136583&page=5&kind=3
[여기는 킨텍스] 인텔리빅스, Gen AMS 공개로 인산인해,https://www.boannews.com/media/view.asp?idx=136582&page=5&kind=1
[인사] 과학기술정보통신부,https://www.boannews.com/media/view.asp?idx=136581&page=5&kind=1
[여기는 킨텍스] 피앤피시큐어, 무자각 지속 인증 기술 선뵌다,https://www.boannews.com/media/view.asp?idx=136580&page=5&kind=3
케이사인, 샌즈랩과 PQC 공동 개발,https://www.boannews.com/media/view.asp?idx=136579&page=5&kind=1
토종 AI스타트업, 美동부 진출 박차..과기정통부, 뉴욕大에 교두보 마련,https://www.boannews.com/media/view.asp?idx=136578&page=5&kind=1
[여기는 킨텍스] 아이디스, 300개 빛 열매 반짝..고객 감사 의미,https://www.boannews.com/media/view.asp?idx=136569&page=5&kind=3
[여기는 킨텍스] 파이오링크, ‘티프론트 ZT’로 제로트러스트 구현,https://www.boannews.com/media/view.asp?idx=136577&page=5&kind=3
[여기는 킨텍스] 한화비전, 산업별 맞춤 기능 제공하는 툴킷 ‘AI PACK’ 등 주목,https://www.boannews.com/media/view.asp?idx=136571&page=5&kind=3
[여기는 킨텍스] 에스에스앤씨, 보안 종합 선물 세트 Forcepoint ONE 선봬,https://www.boannews.com/media/view.asp?idx=136564&page=5&kind=3
[여기는 킨텍스] 더 강력해진 AI로 무장한 슈프리마 ‘바이오스타(BioStar) X’ 공개,https://www.boannews.com/media/view.asp?idx=136572&page=5&kind=3
