Title,Link
“피지컬AI 글로벌 주도권 확보”...민관연 피지컬AI 글로벌 얼라이언스 29일 출범,https://www.boannews.com/media/view.asp?idx=139487&page=3&kind=2
SK쉴더스, 전국 대학 사이버보안 대응 돕는다,https://www.boannews.com/media/view.asp?idx=139479&page=3&kind=2
[체험기] 2025년 제3회 국가공인 영상정보관리사, 자격검증 도전,https://www.boannews.com/media/view.asp?idx=139480&page=3&kind=2
KISA-IBK기업은행, 사이버보안 강화 ‘맞손’,https://www.boannews.com/media/view.asp?idx=139476&page=3&kind=2
엔키화이트햇, 오펜시브 보안 플랫폼 ‘오펜 v1.0’ GS인증 1등급 획득,https://www.boannews.com/media/view.asp?idx=139477&page=3&kind=3
타포, 태양광 회전형 무선 CCTV ‘Tapo C660 KIT’ 출시,https://www.boannews.com/media/view.asp?idx=139478&page=4&kind=3
[카드뉴스] 기업과 해커가 함께 만드는 보안,‘버그바운티(Bug Bounty)’ 제도를 아시나요?,https://www.boannews.com/media/view.asp?idx=139475&page=4&kind=1
지니언스, ‘2025 한국IR대상’ IR우수기업 선정,https://www.boannews.com/media/view.asp?idx=139474&page=4&kind=3
클라우드플레어, AI 크롤러서 독립 언론·비영리 단체 무료보호 나선다,https://www.boannews.com/media/view.asp?idx=139473&page=4&kind=2
[AI와 보안] “AI 시대, 시범 공격해 볼 ‘디지털 트윈’ 필요”,https://www.boannews.com/media/view.asp?idx=139472&page=4&kind=3
라온시큐어, ‘2025 블록체인&AI 해커톤’ 성료...‘위임’팀 대상 선정,https://www.boannews.com/media/view.asp?idx=139471&page=4&kind=3
SKT 에이닷 업그레이드, 최신 AI 모델부터 보안 신기능 추가,https://www.boannews.com/media/view.asp?idx=139470&page=4&kind=3
금보원, AI 점검 도구 2종 자체 개발...업무 혁신 본격화,https://www.boannews.com/media/view.asp?idx=139464&page=4&kind=2
양자보안 선도 민관 플랫폼 양자보안포럼 출범...이원태 초대회장 선출,https://www.boannews.com/media/view.asp?idx=139469&page=4&kind=2
엠클라우독, 늘어난 보안 위협 해법으로 ‘문서중앙화’ 강조,https://www.boannews.com/media/view.asp?idx=139465&page=4&kind=3
“구글·메타·오픈AI, 6개월 내 국내 법인으로 국내 대리인 변경해야”,https://www.boannews.com/media/view.asp?idx=139462&page=4&kind=2
카카오 AI비서·토스 안면결제도 사전적정성 검토 거쳐...제도 2년 성과 발표,https://www.boannews.com/media/view.asp?idx=139461&page=4&kind=2
[김정덕의 보안 다반사-3] 트럼프발 ‘각자도생’ 시대, 한국의 디지털 안보 전략은?,https://www.boannews.com/media/view.asp?idx=139460&page=4&kind=2
[부고] 강승룡 네티마시스템 대표이사 빙모상,https://www.boannews.com/media/view.asp?idx=139459&page=4&kind=1
엑시스 코리아, AI 보안 ‘엑시스 솔루션 컨퍼런스 2025’ 개최,https://www.boannews.com/media/view.asp?idx=139458&page=4&kind=3
GASA “韓 사기범죄 팬데믹 직면, AI 기반 대응과 통합 거버넌스 시급”,https://www.boannews.com/media/view.asp?idx=139456&page=4&kind=2
SK쉴더스, AI 기반 MXDR 도입해 관제 플랫폼 ‘시큐디움’ 고도화,https://www.boannews.com/media/view.asp?idx=139454&page=4&kind=3
소프트캠프, MS 팀즈 전용 보안 앱 ‘실드게이트 팀즈 앱’ 출시,https://www.boannews.com/media/view.asp?idx=139457&page=4&kind=3
