Title,Link
[2보]  ‘KT 무단 소액결제’ 40대 용의자 2명 인천공항서 검거,https://www.boannews.com/media/view.asp?idx=139317&page=4&kind=1
오픈AI, ‘프라이버시 필터’ 오픈소스 공개한다...“전세계 AI 개인정보 수준 높일 것”,https://www.boannews.com/media/view.asp?idx=139314&page=5&kind=2
새로종합관리-아마노코리아, 주차·보안 통합 솔루션 협력 위한 업무협약 체결,https://www.boannews.com/media/view.asp?idx=139313&page=5&kind=3
지미션, 인니 현지 기업과 협력...AI 영상분석 기반 보안 시장 진출 본격화,https://www.boannews.com/media/view.asp?idx=139312&page=5&kind=3
AI가 군중 밀집 예측...이태원 참사 재발 막는다,https://www.boannews.com/media/view.asp?idx=139311&page=5&kind=5
이직하려고 면접 봤는데...금보원, 가상자산거래소 해킹 수법 공개,https://www.boannews.com/media/view.asp?idx=139306&page=5&kind=1
위베어소프트-비트윈소프트, 인증서 자동화 솔루션 ‘서트베어 v1.0’ 선봬,https://www.boannews.com/media/view.asp?idx=139309&page=5&kind=3
[카드뉴스] 민생회복 소비쿠폰 사칭 스미싱 기승… 정부 ‘링크 포함 시 100% 사기’ 경고,https://www.boannews.com/media/view.asp?idx=139310&page=5&kind=1
[AI와 보안] 체크포인트, AI 네이티브 보안 기업 라케라 3억달러에 인수,https://www.boannews.com/media/view.asp?idx=139308&page=5&kind=3
“가명정보 처리 안전하고 유연하게”...‘개인정보 이노베이션 존’ 운영기관 공모,https://www.boannews.com/media/view.asp?idx=139307&page=5&kind=2
AI 시대 갈등 선제적 논의...KISA, ‘2025 ICT·AI 분쟁조정 경연대회’ 접수,https://www.boannews.com/media/view.asp?idx=139305&page=5&kind=2
파수 대법원에 AI 기반 개인정보보호 솔루션 '에어 프라이버시' 공급,https://www.boannews.com/media/view.asp?idx=139301&page=5&kind=3
거실 LG TV가 위험하다? LG전자, 업데이트 패치 배포,https://www.boannews.com/media/view.asp?idx=139302&page=5&kind=1
‘역사에서 불이 났다면?’ 철도 화재 대응요령 홍보영상 배포,https://www.boannews.com/media/view.asp?idx=139304&page=5&kind=2
[IP포토] 특허심판원, 中 IP5 특허심판원장 회의 참석,https://www.boannews.com/media/view.asp?idx=139300&page=5&kind=1
정부, 휴대폰 소액결제에 2차 인증 의무화 추진...연내 고시 개정 예정,https://www.boannews.com/media/view.asp?idx=139299&page=5&kind=1
韓, 사상 첫 ‘4대 글로벌 혁신강국’ 진입,https://www.boannews.com/media/view.asp?idx=139297&page=5&kind=1
엑스비젼씨큐리티시스템, 국내 최초 임베디드 기반 HSM 특허 기술 등록,https://www.boannews.com/media/view.asp?idx=139267&page=5&kind=3
[이슈칼럼] 연쇄 해킹사고의 교훈, 실시간 파일 무결성 관리 ‘신뢰’가 아닌 ‘증명’의 시대,https://www.boannews.com/media/view.asp?idx=139269&page=5&kind=6
위드네트웍스, ‘withVTM 3.0’기반 한국주택금융공사 정보보안통합포탈 구축,https://www.boannews.com/media/view.asp?idx=139294&page=5&kind=3
EU 정보보호 감독기관들 “AI에 GDPR 적용해 초국경 데이터 보호”,https://www.boannews.com/media/view.asp?idx=139293&page=5&kind=2
